E_A#27 / keV,N_A#27,E_A#36 / keV,N_A#36,E_A#37 / keV,N_A#37,E_A#38 / keV,N_A#38,E_A#39 / keV,N_A#39,E_A#40 / keV,N_A#40,E_A#41 / keV,N_A#41,E_A#43 / keV,N_A#43
119.6,480,119.6,399,119.6,489,119.6,451,119.6,471,119.6,467,119.6,467,119.6,420
122.4,439,122.4,399,122.4,429,122.4,476,122.4,470,122.4,462,122.4,458,122.4,473
125.2,468,125.2,390,125.2,425,125.2,433,125.2,471,125.2,423,125.2,448,125.2,433
128.1,442,128.1,385,128.1,418,128.1,472,128.1,479,128.1,471,128.1,446,128.1,419
130.9,470,130.9,405,130.9,447,130.9,492,130.9,440,130.9,433,130.9,448,130.9,485
133.8,452,133.8,423,133.8,437,133.8,494,133.8,497,133.8,458,133.8,469,133.8,488
136.6,476,136.6,393,136.6,455,136.6,476,136.6,502,136.6,438,136.6,493,136.6,403
139.4,518,139.4,384,139.4,457,139.4,453,139.4,473,139.4,500,139.4,469,139.4,480
142.3,531,142.3,364,142.3,430,142.3,471,142.3,442,142.3,500,142.3,533,142.3,448
145.1,538,145.1,378,145.1,454,145.1,486,145.1,473,145.1,516,145.1,509,145.1,469
147.9,531,147.9,411,147.9,433,147.9,488,147.9,548,147.9,542,147.9,536,147.9,570
150.8,627,150.8,400,150.8,467,150.8,481,150.8,504,150.8,520,150.8,554,150.8,471
153.6,537,153.6,373,153.6,462,153.6,483,153.6,526,153.6,529,153.6,542,153.6,540
156.4,549,156.4,362,156.4,430,156.4,476,156.4,512,156.4,501,156.4,523,156.4,496
159.3,563,159.3,389,159.3,450,159.3,502,159.3,512,159.3,554,159.3,582,159.3,564
162.1,558,162.1,379,162.1,397,162.1,457,162.1,495,162.1,508,162.1,536,162.1,508
165,524,165,388,165,430,165,449,165,472,165,552,165,490,165,510
167.8,535,167.8,404,167.8,424,167.8,472,167.8,476,167.8,470,167.8,477,167.8,517
170.6,528,170.6,357,170.6,423,170.6,457,170.6,484,170.6,498,170.6,500,170.6,464
173.5,501,173.5,391,173.5,403,173.5,441,173.5,486,173.5,475,173.5,488,173.5,502
176.3,484,176.3,338,176.3,434,176.3,416,176.3,475,176.3,492,176.3,476,176.3,495
179.1,468,179.1,355,179.1,400,179.1,428,179.1,459,179.1,465,179.1,476,179.1,497
182,505,182,367,182,411,182,427,182,431,182,415,182,467,182,429
184.8,453,184.8,326,184.8,363,184.8,428,184.8,462,184.8,480,184.8,428,184.8,453
187.6,455,187.6,339,187.6,382,187.6,392,187.6,427,187.6,460,187.6,445,187.6,467
190.5,445,190.5,310,190.5,396,190.5,409,190.5,427,190.5,431,190.5,413,190.5,423
193.3,501,193.3,333,193.3,375,193.3,385,193.3,419,193.3,410,193.3,425,193.3,423
196.2,483,196.2,331,196.2,397,196.2,424,196.2,431,196.2,431,196.2,442,196.2,394
199,430,199,347,199,373,199,402,199,383,199,433,199,406,199,448
201.8,449,201.8,314,201.8,360,201.8,390,201.8,396,201.8,422,201.8,397,201.8,458
204.7,430,204.7,337,204.7,365,204.7,406,204.7,420,204.7,408,204.7,412,204.7,383
207.5,448,207.5,286,207.5,350,207.5,382,207.5,372,207.5,407,207.5,424,207.5,405
210.3,400,210.3,276,210.3,319,210.3,356,210.3,380,210.3,398,210.3,403,210.3,376
213.2,434,213.2,283,213.2,313,213.2,394,213.2,383,213.2,372,213.2,345,213.2,385
216,411,216,280,216,328,216,373,216,402,216,399,216,384,216,429
218.8,399,218.8,282,218.8,326,218.8,382,218.8,401,218.8,388,218.8,357,218.8,389
221.7,423,221.7,283,221.7,286,221.7,347,221.7,412,221.7,393,221.7,379,221.7,377
224.5,402,224.5,276,224.5,287,224.5,343,224.5,399,224.5,381,224.5,387,224.5,407
227.4,377,227.4,268,227.4,309,227.4,367,227.4,359,227.4,354,227.4,353,227.4,368
230.2,364,230.2,269,230.2,292,230.2,319,230.2,304,230.2,334,230.2,355,230.2,353
233,418,233,278,233,284,233,334,233,273,233,351,233,366,233,342
235.9,348,235.9,232,235.9,284,235.9,301,235.9,339,235.9,339,235.9,353,235.9,343
238.7,391,238.7,252,238.7,282,238.7,309,238.7,321,238.7,364,238.7,342,238.7,335
241.5,352,241.5,243,241.5,293,241.5,319,241.5,344,241.5,351,241.5,319,241.5,366
244.4,346,244.4,234,244.4,250,244.4,317,244.4,306,244.4,319,244.4,329,244.4,344
247.2,334,247.2,251,247.2,273,247.2,332,247.2,341,247.2,371,247.2,331,247.2,314
250,310,250,220,250,264,250,342,250,288,250,352,250,303,250,324
252.9,304,252.9,225,252.9,262,252.9,260,252.9,329,252.9,331,252.9,289,252.9,329
255.7,357,255.7,227,255.7,282,255.7,300,255.7,329,255.7,321,255.7,329,255.7,296
258.6,322,258.6,227,258.6,276,258.6,333,258.6,317,258.6,314,258.6,328,258.6,312
261.4,339,261.4,246,261.4,291,261.4,286,261.4,305,261.4,320,261.4,305,261.4,345
264.2,308,264.2,231,264.2,266,264.2,294,264.2,326,264.2,315,264.2,321,264.2,313
267.1,371,267.1,254,267.1,269,267.1,290,267.1,287,267.1,325,267.1,313,267.1,315
269.9,345,269.9,213,269.9,254,269.9,316,269.9,308,269.9,301,269.9,302,269.9,316
272.7,322,272.7,202,272.7,272,272.7,274,272.7,329,272.7,303,272.7,295,272.7,324
275.6,305,275.6,231,275.6,256,275.6,273,275.6,318,275.6,327,275.6,311,275.6,315
278.4,342,278.4,197,278.4,245,278.4,298,278.4,300,278.4,329,278.4,321,278.4,289
281.2,329,281.2,232,281.2,244,281.2,279,281.2,295,281.2,312,281.2,320,281.2,328
284.1,289,284.1,215,284.1,224,284.1,265,284.1,303,284.1,322,284.1,302,284.1,265
286.9,313,286.9,192,286.9,240,286.9,298,286.9,316,286.9,315,286.9,302,286.9,312
289.8,306,289.8,217,289.8,256,289.8,282,289.8,314,289.8,285,289.8,299,289.8,305
292.6,297,292.6,201,292.6,238,292.6,272,292.6,296,292.6,300,292.6,268,292.6,299
295.4,322,295.4,189,295.4,218,295.4,290,295.4,304,295.4,288,295.4,332,295.4,270
298.3,312,298.3,203,298.3,259,298.3,292,298.3,273,298.3,294,298.3,316,298.3,287
301.1,293,301.1,210,301.1,240,301.1,245,301.1,275,301.1,300,301.1,268,301.1,253
303.9,289,303.9,173,303.9,230,303.9,285,303.9,303,303.9,274,303.9,293,303.9,281
