E_A#1 / keV,N_A#1,E_A#2 / keV,N_A#2
790.7,31,790.7,319
794.1,34,794.1,310
797.5,35,797.5,321
800.9,34,800.9,294
804.3,31,804.3,291
807.6,33,807.6,308
811,43,811,310
814.4,36,814.4,300
817.8,42,817.8,305
821.2,47,821.2,311
824.6,43,824.6,329
827.9,45,827.9,277
831.3,44,831.3,301
834.7,42,834.7,268
838.1,48,838.1,308
841.5,26,841.5,288
844.9,51,844.9,288
848.2,47,848.2,322
851.6,38,851.6,304
855,49,855,301
858.4,42,858.4,314
861.8,52,861.8,273
865.1,44,865.1,317
868.5,41,868.5,281
871.9,46,871.9,296
875.3,45,875.3,278
878.7,50,878.7,294
882.1,39,882.1,292
885.4,46,885.4,320
888.8,46,888.8,339
892.2,45,892.2,287
895.6,41,895.6,302
899,61,899,274
902.4,42,902.4,307
905.7,50,905.7,310
909.1,46,909.1,271
912.5,55,912.5,314
915.9,46,915.9,295
919.3,48,919.3,277
922.7,43,922.7,285
926,39,926,278
929.4,43,929.4,277
932.8,42,932.8,266
936.2,41,936.2,288
939.6,41,939.6,275
943,42,943,265
946.3,41,946.3,244
949.7,35,949.7,268
953.1,44,953.1,263
956.5,37,956.5,213
959.9,25,959.9,235
963.3,30,963.3,279
966.6,37,966.6,255
970,27,970,243
973.4,31,973.4,232
976.8,32,976.8,237
980.2,32,980.2,243
983.6,29,983.6,239
986.9,28,986.9,243
990.3,30,990.3,196
993.7,31,993.7,206
997.1,31,997.1,202
1000.5,33,1000.5,220
1003.9,40,1003.9,185
1007.2,23,1007.2,229
1010.6,36,1010.6,182
1014,28,1014,221
1017.4,25,1017.4,206
1020.8,22,1020.8,204
1024.1,24,1024.1,186
1027.5,29,1027.5,207
1030.9,39,1030.9,200
1034.3,26,1034.3,191
1037.7,22,1037.7,192
1041.1,31,1041.1,212
1044.4,25,1044.4,202
1047.8,24,1047.8,184
1051.2,28,1051.2,191
1054.6,21,1054.6,172
1058,22,1058,187
1061.4,26,1061.4,184
1064.7,18,1064.7,182
1068.1,32,1068.1,186
1071.5,25,1071.5,182
1074.9,20,1074.9,179
1078.3,21,1078.3,167
1081.7,21,1081.7,187
1085,15,1085,163
1088.4,24,1088.4,176
1091.8,17,1091.8,176
1095.2,27,1095.2,186
1098.6,22,1098.6,191
1102,14,1102,146
1105.3,18,1105.3,174
1108.7,18,1108.7,177
1112.1,18,1112.1,175
1115.5,26,1115.5,186
1118.9,25,1118.9,205
1122.3,24,1122.3,191
1125.6,24,1125.6,204
1129,28,1129,220
1132.4,36,1132.4,233
1135.8,42,1135.8,233
1139.2,49,1139.2,256
1142.6,52,1142.6,261
1145.9,59,1145.9,261
1149.3,73,1149.3,310
1152.7,62,1152.7,296
1156.1,74,1156.1,341
1159.5,85,1159.5,354
1162.9,94,1162.9,338
1166.2,91,1166.2,303
1169.6,98,1169.6,316
1173,100,1173,323
1176.4,94,1176.4,374
1179.8,100,1179.8,317
1183.1,94,1183.1,318
1186.5,88,1186.5,323
1189.9,82,1189.9,278
1193.3,70,1193.3,249
1196.7,77,1196.7,234
