E_A#3 / keV,N_A#3,E_A#12 / keV,N_A#12,E_A#13 / keV,N_A#13,E_A#14 / keV,N_A#14,E_A#15 / keV,N_A#15,E_A#16 / keV,N_A#16,E_A#17 / keV,N_A#17,E_A#18 / keV,N_A#18
108.2,1120,108.2,997,108.2,1170,108.2,1260,108.2,1244,108.2,1110,108.2,1086,108.2,1064
111.1,1147,111.1,969,111.1,1152,111.1,1236,111.1,1151,111.1,1131,111.1,1162,111.1,1083
113.9,1076,113.9,966,113.9,1202,113.9,1273,113.9,1174,113.9,1141,113.9,1036,113.9,1056
116.7,1104,116.7,979,116.7,1180,116.7,1246,116.7,1175,116.7,1134,116.7,1112,116.7,1077
119.6,1071,119.6,1023,119.6,1234,119.6,1265,119.6,1215,119.6,1148,119.6,1042,119.6,1079
122.4,1050,122.4,989,122.4,1167,122.4,1296,122.4,1163,122.4,1155,122.4,1123,122.4,1070
125.2,1069,125.2,932,125.2,1126,125.2,1217,125.2,1204,125.2,1079,125.2,1087,125.2,1069
128.1,1080,128.1,958,128.1,1152,128.1,1150,128.1,1128,128.1,1094,128.1,1092,128.1,1040
130.9,1085,130.9,972,130.9,1176,130.9,1225,130.9,1229,130.9,1165,130.9,1223,130.9,1127
133.8,1150,133.8,1011,133.8,1151,133.8,1292,133.8,1188,133.8,1219,133.8,1179,133.8,1121
136.6,1186,136.6,977,136.6,1213,136.6,1255,136.6,1227,136.6,1193,136.6,1158,136.6,1146
139.4,1179,139.4,948,139.4,1177,139.4,1383,139.4,1193,139.4,1188,139.4,1191,139.4,1197
142.3,1200,142.3,1071,142.3,1189,142.3,1292,142.3,1295,142.3,1252,142.3,1172,142.3,1241
145.1,1172,145.1,1028,145.1,1173,145.1,1327,145.1,1313,145.1,1329,145.1,1269,145.1,1232
147.9,1352,147.9,1037,147.9,1248,147.9,1413,147.9,1372,147.9,1284,147.9,1315,147.9,1308
150.8,1484,150.8,1023,150.8,1272,150.8,1395,150.8,1381,150.8,1374,150.8,1417,150.8,1353
153.6,1521,153.6,1050,153.6,1230,153.6,1400,153.6,1507,153.6,1490,153.6,1444,153.6,1518
156.4,1705,156.4,1111,156.4,1359,156.4,1487,156.4,1582,156.4,1515,156.4,1588,156.4,1514
159.3,1733,159.3,1126,159.3,1285,159.3,1508,159.3,1541,159.3,1643,159.3,1643,159.3,1595
162.1,1836,162.1,1067,162.1,1317,162.1,1564,162.1,1621,162.1,1657,162.1,1699,162.1,1735
165,1831,165,1104,165,1322,165,1508,165,1681,165,1810,165,1771,165,1778
167.8,1946,167.8,1090,167.8,1370,167.8,1541,167.8,1715,167.8,1797,167.8,1752,167.8,1872
170.6,1735,170.6,1071,170.6,1298,170.6,1527,170.6,1698,170.6,1729,170.6,1736,170.6,1752
173.5,1815,173.5,1013,173.5,1235,173.5,1598,173.5,1598,173.5,1685,173.5,1752,173.5,1744
176.3,1670,176.3,1012,176.3,1279,176.3,1494,176.3,1665,176.3,1695,176.3,1668,176.3,1685
179.1,1581,179.1,1005,179.1,1212,179.1,1429,179.1,1553,179.1,1631,179.1,1671,179.1,1647
182,1616,182,963,182,1180,182,1391,182,1417,182,1512,182,1523,182,1541
184.8,1497,184.8,965,184.8,1091,184.8,1360,184.8,1319,184.8,1417,184.8,1426,184.8,1475
187.6,1449,187.6,928,187.6,1105,187.6,1322,187.6,1433,187.6,1368,187.6,1386,187.6,1443
190.5,1386,190.5,868,190.5,1028,190.5,1264,190.5,1349,190.5,1359,190.5,1480,190.5,1400
193.3,1393,193.3,899,193.3,1080,193.3,1237,193.3,1341,193.3,1323,193.3,1331,193.3,1349
196.2,1343,196.2,839,196.2,1055,196.2,1253,196.2,1338,196.2,1303,196.2,1282,196.2,1407
199,1333,199,846,199,1040,199,1163,199,1242,199,1314,199,1338,199,1254
201.8,1341,201.8,880,201.8,992,201.8,1125,201.8,1205,201.8,1218,201.8,1201,201.8,1318
204.7,1251,204.7,801,204.7,969,204.7,1126,204.7,1235,204.7,1170,204.7,1242,204.7,1250
207.5,1183,207.5,797,207.5,958,207.5,1100,207.5,1149,207.5,1175,207.5,1190,207.5,1218
210.3,1221,210.3,827,210.3,928,210.3,1156,210.3,1191,210.3,1163,210.3,1163,210.3,1220
