E_A#3 / keV,N_A#3,E_A#19 / keV,N_A#19,E_A#20 / keV,N_A#20,E_A#21 / keV,N_A#21,E_A#22 / keV,N_A#22,E_A#23 / keV,N_A#23,E_A#24 / keV,N_A#24,E_A#25 / keV,N_A#25,E_A#26 / keV,N_A#26
618.8,387,618.8,125,618.8,139,618.8,202,618.8,228,618.8,210,618.8,232,618.8,231,618.8,215
621.6,448,621.6,123,621.6,134,621.6,226,621.6,255,621.6,235,621.6,278,621.6,271,621.6,253
624.5,667,624.5,129,624.5,171,624.5,263,624.5,335,624.5,322,624.5,302,624.5,309,624.5,316
627.3,860,627.3,148,627.3,192,627.3,274,627.3,384,627.3,381,627.3,384,627.3,384,627.3,405
630.1,998,630.1,160,630.1,234,630.1,363,630.1,421,630.1,452,630.1,495,630.1,491,630.1,485
633,1255,633,192,633,241,633,396,633,519,633,540,633,563,633,599,633,640
635.8,1587,635.8,195,635.8,296,635.8,459,635.8,695,635.8,647,635.8,750,635.8,713,635.8,822
638.6,1825,638.6,214,638.6,342,638.6,554,638.6,758,638.6,796,638.6,859,638.6,869,638.6,973
641.5,2170,641.5,269,641.5,394,641.5,626,641.5,946,641.5,928,641.5,1018,641.5,1136,641.5,1142
644.3,2691,644.3,259,644.3,478,644.3,748,644.3,1195,644.3,1105,644.3,1289,644.3,1366,644.3,1453
647.1,2902,647.1,320,647.1,502,647.1,815,647.1,1333,647.1,1326,647.1,1464,647.1,1633,647.1,1783
650,3220,650,385,650,585,650,1012,650,1533,650,1565,650,1757,650,1939,650,2034
652.8,3707,652.8,424,652.8,719,652.8,1065,652.8,1712,652.8,1667,652.8,1963,652.8,2163,652.8,2376
655.7,3968,655.7,448,655.7,691,655.7,1165,655.7,1885,655.7,1949,655.7,2242,655.7,2399,655.7,2636
658.5,4166,658.5,435,658.5,775,658.5,1314,658.5,2067,658.5,2099,658.5,2440,658.5,2815,658.5,2873
661.3,4377,661.3,488,661.3,809,661.3,1296,661.3,2261,661.3,2236,661.3,2677,661.3,2857,661.3,3191
664.2,4501,664.2,495,664.2,859,664.2,1368,664.2,2335,664.2,2545,664.2,2853,664.2,3170,664.2,3332
667,4360,667,561,667,907,667,1474,667,2555,667,2567,667,2974,667,3435,667,3671
669.8,4187,669.8,482,669.8,872,669.8,1465,669.8,2467,669.8,2507,669.8,2990,669.8,3289,669.8,3598
672.7,3970,672.7,475,672.7,817,672.7,1415,672.7,2417,672.7,2388,672.7,2911,672.7,3312,672.7,3609
675.5,3863,675.5,465,675.5,781,675.5,1343,675.5,2444,675.5,2536,675.5,3027,675.5,3393,675.5,3786
678.3,3745,678.3,463,678.3,796,678.3,1431,678.3,2432,678.3,2547,678.3,2914,678.3,3304,678.3,3753
681.2,3347,681.2,414,681.2,738,681.2,1306,681.2,2289,681.2,2391,681.2,2871,681.2,3235,681.2,3567
684,2885,684,366,684,680,684,1205,684,2089,684,2137,684,2567,684,3041,684,3358
686.9,2553,686.9,305,686.9,618,686.9,1142,686.9,1961,686.9,2023,686.9,2424,686.9,2851,686.9,3150
689.7,2189,689.7,299,689.7,495,689.7,971,689.7,1768,689.7,1781,689.7,2210,689.7,2501,689.7,2816
692.5,1794,692.5,270,692.5,442,692.5,827,692.5,1487,692.5,1636,692.5,1871,692.5,2274,692.5,2524
695.4,1446,695.4,212,695.4,390,695.4,743,695.4,1326,695.4,1329,695.4,1666,695.4,1992,695.4,2162
698.2,1203,698.2,191,698.2,295,698.2,583,698.2,1068,698.2,1178,698.2,1347,698.2,1665,698.2,1824
701,931,701,154,701,244,701,528,701,909,701,971,701,1152,701,1384,701,1516
703.9,763,703.9,95,703.9,222,703.9,392,703.9,748,703.9,762,703.9,947,703.9,1152,703.9,1209
706.7,551,706.7,90,706.7,145,706.7,319,706.7,549,706.7,612,706.7,761,706.7,865,706.7,963
709.6,367,709.6,51,709.6,136,709.6,235,709.6,433,709.6,473,709.6,569,709.6,695,709.6,790
712.4,298,712.4,43,712.4,90,712.4,183,712.4,357,712.4,351,712.4,471,712.4,542,712.4,579
715.2,210,715.2,31,715.2,83,715.2,113,715.2,252,715.2,264,715.2,361,715.2,407,715.2,475
718.1,130,718.1,39,718.1,44,718.1,114,718.1,188,718.1,214,718.1,248,718.1,268,718.1,331
720.9,94,720.9,21,720.9,40,720.9,64,720.9,144,720.9,126,720.9,175,720.9,217,720.9,230
723.7,79,723.7,21,723.7,30,723.7,52,723.7,87,723.7,77,723.7,123,723.7,148,723.7,175
726.6,47,726.6,11,726.6,24,726.6,30,726.6,62,726.6,68,726.6,82,726.6,103,726.6,114
729.4,31,729.4,13,729.4,9,729.4,25,729.4,51,729.4,50,729.4,67,729.4,63,729.4,73
732.2,17,732.2,5,732.2,14,732.2,20,732.2,27,732.2,33,732.2,48,732.2,55,732.2,58
735.1,18,735.1,7,735.1,9,735.1,17,735.1,22,735.1,30,735.1,24,735.1,27,735.1,32
737.9,16,737.9,5,737.9,11,737.9,10,737.9,21,737.9,13,737.9,23,737.9,31,737.9,23
740.8,13,740.8,7,740.8,5,740.8,10,740.8,14,740.8,14,740.8,19,740.8,14,740.8,22
743.6,9,743.6,4,743.6,5,743.6,9,743.6,8,743.6,9,743.6,9,743.6,10,743.6,13
746.4,18,746.4,7,746.4,3,746.4,3,746.4,12,746.4,9,746.4,13,746.4,10,746.4,12
749.3,15,749.3,7,749.3,5,749.3,5,749.3,11,749.3,7,749.3,5,749.3,6,749.3,9
752.1,9,752.1,4,752.1,10,752.1,6,752.1,4,752.1,7,752.1,8,752.1,6,752.1,12
754.9,8,754.9,2,754.9,9,754.9,10,754.9,6,754.9,5,754.9,10,754.9,12,754.9,9
757.8,6,757.8,4,757.8,4,757.8,4,757.8,10,757.8,5,757.8,3,757.8,11,757.8,4
760.6,9,760.6,7,760.6,5,760.6,1,760.6,2,760.6,9,760.6,6,760.6,12,760.6,12
763.4,8,763.4,8,763.4,5,763.4,6,763.4,10,763.4,7,763.4,8,763.4,10,763.4,6
766.3,7,766.3,7,766.3,8,766.3,12,766.3,7,766.3,8,766.3,10,766.3,4,766.3,12
769.1,9,769.1,8,769.1,3,769.1,2,769.1,5,769.1,6,769.1,4,769.1,8,769.1,3
772,10,772,3,772,10,772,3,772,5,772,4,772,4,772,10,772,9
774.8,10,774.8,2,774.8,3,774.8,4,774.8,5,774.8,7,774.8,2,774.8,4,774.8,9
777.6,11,777.6,4,777.6,5,777.6,3,777.6,7,777.6,5,777.6,5,777.6,6,777.6,10
780.5,8,780.5,4,780.5,3,780.5,7,780.5,3,780.5,6,780.5,7,780.5,3,780.5,7
783.3,16,783.3,7,783.3,4,783.3,2,783.3,5,783.3,5,783.3,4,783.3,6,783.3,8
786.1,12,786.1,8,786.1,5,786.1,4,786.1,6,786.1,6,786.1,6,786.1,5,786.1,15
789,9,789,5,789,5,789,8,789,4,789,11,789,5,789,5,789,6
791.8,10,791.8,6,791.8,3,791.8,6,791.8,4,791.8,7,791.8,5,791.8,6,791.8,4
794.6,2,794.6,3,794.6,4,794.6,7,794.6,4,794.6,8,794.6,10,794.6,5,794.6,7
797.5,7,797.5,4,797.5,3,797.5,10,797.5,10,797.5,5,797.5,10,797.5,10,797.5,5
800.3,8,800.3,9,800.3,1,800.3,10,800.3,5,800.3,12,800.3,8,800.3,9,800.3,7
803.2,9,803.2,9,803.2,2,803.2,6,803.2,4,803.2,1,803.2,8,803.2,8,803.2,4
806,8,806,6,806,8,806,5,806,10,806,11,806,7,806,4,806,7
808.8,6,808.8,9,808.8,5,808.8,6,808.8,5,808.8,13,808.8,3,808.8,6,808.8,2
811.7,6,811.7,4,811.7,4,811.7,5,811.7,5,811.7,4,811.7,7,811.7,3,811.7,4
814.5,10,814.5,3,814.5,7,814.5,4,814.5,8,814.5,5,814.5,12,814.5,7,814.5,11
817.3,11,817.3,3,817.3,9,817.3,4,817.3,5,817.3,2,817.3,7,817.3,3,817.3,9
820.2,7,820.2,6,820.2,4,820.2,5,820.2,6,820.2,4,820.2,8,820.2,9,820.2,4
823,10,823,8,823,5,823,9,823,2,823,11,823,5,823,5,823,8
825.8,6,825.8,3,825.8,3,825.8,7,825.8,5,825.8,5,825.8,3,825.8,7,825.8,11
828.7,12,828.7,2,828.7,2,828.7,6,828.7,6,828.7,8,828.7,10,828.7,6,828.7,6
831.5,2,831.5,9,831.5,5,831.5,3,831.5,6,831.5,6,831.5,3,831.5,5,831.5,4
834.4,5,834.4,9,834.4,3,834.4,4,834.4,3,834.4,6,834.4,10,834.4,6,834.4,6
837.2,9,837.2,8,837.2,4,837.2,10,837.2,11,837.2,8,837.2,6,837.2,6,837.2,12
840,8,840,9,840,2,840,10,840,4,840,4,840,6,840,3,840,8
842.9,7,842.9,8,842.9,4,842.9,9,842.9,8,842.9,8,842.9,7,842.9,7,842.9,10
845.7,6,845.7,7,845.7,8,845.7,6,845.7,9,845.7,3,845.7,9,845.7,3,845.7,3
848.5,11,848.5,4,848.5,6,848.5,2,848.5,2,848.5,5,848.5,6,848.5,8,848.5,6
851.4,6,851.4,3,851.4,4,851.4,5,851.4,8,851.4,4,851.4,9,851.4,6,851.4,7
854.2,8,854.2,10,854.2,3,854.2,5,854.2,5,854.2,5,854.2,6,854.2,2,854.2,7
857,8,857,3,857,3,857,4,857,6,857,5,857,1,857,12,857,3
859.9,5,859.9,11,859.9,4,859.9,6,859.9,7,859.9,4,859.9,3,859.9,8,859.9,8
862.7,6,862.7,5,862.7,7,862.7,5,862.7,9,862.7,5,862.7,12,862.7,6,862.7,6
865.6,10,865.6,9,865.6,7,865.6,3,865.6,9,865.6,4,865.6,10,865.6,8,865.6,4
868.4,9,868.4,10,868.4,11,868.4,4,868.4,5,868.4,5,868.4,11,868.4,8,868.4,9
871.2,5,871.2,6,871.2,4,871.2,3,871.2,7,871.2,3,871.2,5,871.2,5,871.2,8
874.1,9,874.1,4,874.1,6,874.1,2,874.1,5,874.1,2,874.1,8,874.1,4,874.1,8
876.9,9,876.9,5,876.9,4,876.9,2,876.9,9,876.9,11,876.9,4,876.9,7,876.9,5
879.7,10,879.7,6,879.7,6,879.7,5,879.7,3,879.7,6,879.7,9,879.7,5,879.7,6
882.6,4,882.6,5,882.6,3,882.6,7,882.6,11,882.6,10,882.6,4,882.6,7,882.6,6
885.4,7,885.4,5,885.4,7,885.4,6,885.4,5,885.4,5,885.4,7,885.4,8,885.4,6
888.2,12,888.2,5,888.2,4,888.2,6,888.2,5,888.2,6,888.2,6,888.2,6,888.2,6
891.1,9,891.1,5,891.1,6,891.1,2,891.1,8,891.1,10,891.1,5,891.1,4,891.1,5
893.9,4,893.9,7,893.9,8,893.9,4,893.9,4,893.9,11,893.9,2,893.9,7,893.9,4
896.8,6,896.8,5,896.8,3,896.8,4,896.8,7,896.8,3,896.8,10,896.8,8,896.8,8
899.6,13,899.6,9,899.6,6,899.6,8,899.6,5,899.6,3,899.6,9,899.6,5,899.6,5
902.4,8,902.4,3,902.4,3,902.4,6,902.4,7,902.4,2,902.4,5,902.4,5,902.4,11
905.3,9,905.3,4,905.3,5,905.3,11,905.3,7,905.3,3,905.3,8,905.3,5,905.3,4
908.1,5,908.1,7,908.1,10,908.1,11,908.1,3,908.1,13,908.1,2,908.1,9,908.1,7
910.9,6,910.9,4,910.9,7,910.9,6,910.9,4,910.9,3,910.9,4,910.9,15,910.9,5
913.8,10,913.8,2,913.8,4,913.8,8,913.8,4,913.8,9,913.8,9,913.8,2,913.8,3
916.6,13,916.6,7,916.6,4,916.6,7,916.6,7,916.6,4,916.6,3,916.6,8,916.6,6
919.4,11,919.4,4,919.4,7,919.4,4,919.4,4,919.4,6,919.4,7,919.4,5,919.4,5
922.3,8,922.3,6,922.3,8,922.3,7,922.3,11,922.3,11,922.3,7,922.3,4,922.3,10
925.1,10,925.1,4,925.1,4,925.1,1,925.1,5,925.1,4,925.1,9,925.1,7,925.1,7
928,5,928,6,928,5,928,4,928,4,928,5,928,4,928,6,928,8
930.8,10,930.8,3,930.8,3,930.8,4,930.8,5,930.8,3,930.8,6,930.8,10,930.8,4
933.6,6,933.6,8,933.6,6,933.6,7,933.6,2,933.6,3,933.6,8,933.6,11,933.6,6
936.5,8,936.5,5,936.5,6,936.5,5,936.5,4,936.5,4,936.5,2,936.5,6,936.5,9
939.3,10,939.3,3,939.3,6,939.3,8,939.3,7,939.3,9,939.3,4,939.3,5,939.3,8
942.1,8,942.1,3,942.1,4,942.1,7,942.1,14,942.1,10,942.1,4,942.1,8,942.1,4
945,10,945,5,945,6,945,7,945,13,945,7,945,3,945,1,945,4
947.8,4,947.8,12,947.8,4,947.8,10,947.8,4,947.8,7,947.8,3,947.8,5,947.8,3
950.6,7,950.6,5,950.6,2,950.6,9,950.6,3,950.6,7,950.6,7,950.6,7,950.6,5
953.5,7,953.5,5,953.5,3,953.5,5,953.5,3,953.5,4,953.5,6,953.5,5,953.5,6
956.3,9,956.3,4,956.3,7,956.3,10,956.3,4,956.3,6,956.3,4,956.3,6,956.3,2
959.2,2,959.2,4,959.2,10,959.2,10,959.2,5,959.2,6,959.2,6,959.2,9,959.2,9
962,5,962,2,962,5,962,4,962,4,962,6,962,3,962,5,962,9
964.8,16,964.8,2,964.8,7,964.8,2,964.8,3,964.8,7,964.8,7,964.8,4,964.8,4
967.7,6,967.7,3,967.7,3,967.7,3,967.7,10,967.7,5,967.7,15,967.7,12,967.7,7
970.5,4,970.5,5,970.5,5,970.5,6,970.5,7,970.5,9,970.5,4,970.5,7,970.5,7
973.3,8,973.3,4,973.3,6,973.3,6,973.3,1,973.3,5,973.3,3,973.3,4,973.3,6
976.2,4,976.2,6,976.2,2,976.2,4,976.2,4,976.2,8,976.2,4,976.2,2,976.2,3
979,4,979,4,979,3,979,5,979,9,979,2,979,6,979,5,979,10
981.8,7,981.8,8,981.8,6,981.8,5,981.8,4,981.8,3,981.8,7,981.8,5,981.8,6
984.7,4,984.7,4,984.7,4,984.7,3,984.7,9,984.7,4,984.7,7,984.7,5,984.7,3
987.5,11,987.5,4,987.5,6,987.5,4,987.5,5,987.5,4,987.5,4,987.5,6,987.5,8
990.4,13,990.4,4,990.4,4,990.4,9,990.4,5,990.4,5,990.4,6,990.4,3,990.4,2
993.2,9,993.2,4,993.2,5,993.2,5,993.2,7,993.2,7,993.2,2,993.2,3,993.2,3
996,3,996,3,996,4,996,8,996,3,996,8,996,5,996,5,996,4
998.9,5,998.9,7,998.9,6,998.9,4,998.9,10,998.9,8,998.9,6,998.9,8,998.9,4
1001.7,4,1001.7,5,1001.7,5,1001.7,7,1001.7,3,1001.7,6,1001.7,3,1001.7,5,1001.7,1
1004.5,12,1004.5,5,1004.5,6,1004.5,6,1004.5,8,1004.5,1,1004.5,8,1004.5,7,1004.5,3
1007.4,7,1007.4,5,1007.4,2,1007.4,2,1007.4,3,1007.4,6,1007.4,2,1007.4,7,1007.4,4
1010.2,7,1010.2,4,1010.2,6,1010.2,3,1010.2,5,1010.2,3,1010.2,4,1010.2,5,1010.2,1
1013,5,1013,0,1013,5,1013,1,1013,3,1013,4,1013,4,1013,2,1013,8
1015.9,4,1015.9,6,1015.9,3,1015.9,1,1015.9,4,1015.9,7,1015.9,6,1015.9,9,1015.9,4
1018.7,5,1018.7,5,1018.7,6,1018.7,2,1018.7,3,1018.7,5,1018.7,0,1018.7,5,1018.7,4
1021.6,6,1021.6,6,1021.6,5,1021.6,5,1021.6,12,1021.6,8,1021.6,3,1021.6,3,1021.6,5
1024.4,8,1024.4,3,1024.4,2,1024.4,6,1024.4,5,1024.4,5,1024.4,4,1024.4,11,1024.4,2
1027.2,3,1027.2,4,1027.2,3,1027.2,2,1027.2,4,1027.2,2,1027.2,2,1027.2,7,1027.2,5
1030.1,2,1030.1,1,1030.1,3,1030.1,3,1030.1,6,1030.1,5,1030.1,4,1030.1,8,1030.1,3
1032.9,5,1032.9,4,1032.9,5,1032.9,1,1032.9,2,1032.9,2,1032.9,2,1032.9,7,1032.9,10
1035.7,1,1035.7,5,1035.7,2,1035.7,5,1035.7,2,1035.7,5,1035.7,5,1035.7,4,1035.7,9
1038.6,4,1038.6,5,1038.6,4,1038.6,3,1038.6,2,1038.6,5,1038.6,1,1038.6,7,1038.6,6
1041.4,5,1041.4,4,1041.4,3,1041.4,2,1041.4,2,1041.4,5,1041.4,0,1041.4,5,1041.4,5
1044.2,4,1044.2,5,1044.2,1,1044.2,3,1044.2,3,1044.2,3,1044.2,2,1044.2,12,1044.2,6
1047.1,3,1047.1,1,1047.1,1,1047.1,5,1047.1,2,1047.1,3,1047.1,5,1047.1,2,1047.1,2
1049.9,2,1049.9,6,1049.9,6,1049.9,4,1049.9,8,1049.9,2,1049.9,1,1049.9,4,1049.9,3
1052.8,3,1052.8,6,1052.8,6,1052.8,3,1052.8,7,1052.8,2,1052.8,4,1052.8,9,1052.8,6
1055.6,3,1055.6,5,1055.6,2,1055.6,1,1055.6,6,1055.6,3,1055.6,6,1055.6,1,1055.6,3
1058.4,5,1058.4,6,1058.4,1,1058.4,4,1058.4,2,1058.4,4,1058.4,1,1058.4,2,1058.4,4
1061.3,4,1061.3,4,1061.3,3,1061.3,4,1061.3,3,1061.3,2,1061.3,5,1061.3,6,1061.3,5
1064.1,7,1064.1,4,1064.1,4,1064.1,6,1064.1,3,1064.1,5,1064.1,4,1064.1,3,1064.1,5
1066.9,4,1066.9,4,1066.9,4,1066.9,2,1066.9,6,1066.9,3,1066.9,3,1066.9,6,1066.9,3
1069.8,5,1069.8,2,1069.8,7,1069.8,2,1069.8,4,1069.8,2,1069.8,0,1069.8,5,1069.8,5
1072.6,3,1072.6,4,1072.6,3,1072.6,2,1072.6,5,1072.6,3,1072.6,7,1072.6,3,1072.6,3
1075.4,4,1075.4,5,1075.4,3,1075.4,4,1075.4,7,1075.4,3,1075.4,5,1075.4,7,1075.4,2
1078.3,3,1078.3,7,1078.3,2,1078.3,3,1078.3,4,1078.3,4,1078.3,9,1078.3,4,1078.3,6
1081.1,4,1081.1,2,1081.1,3,1081.1,4,1081.1,1,1081.1,1,1081.1,0,1081.1,2,1081.1,5
1084,5,1084,2,1084,1,1084,1,1084,4,1084,1,1084,5,1084,5,1084,2
1086.8,3,1086.8,2,1086.8,4,1086.8,2,1086.8,6,1086.8,2,1086.8,4,1086.8,2,1086.8,3
1089.6,4,1089.6,6,1089.6,4,1089.6,2,1089.6,3,1089.6,2,1089.6,3,1089.6,3,1089.6,2
1092.5,2,1092.5,6,1092.5,2,1092.5,3,1092.5,2,1092.5,2,1092.5,2,1092.5,3,1092.5,4
1095.3,10,1095.3,4,1095.3,4,1095.3,4,1095.3,3,1095.3,4,1095.3,1,1095.3,4,1095.3,4
1098.1,5,1098.1,4,1098.1,2,1098.1,4,1098.1,3,1098.1,5,1098.1,3,1098.1,5,1098.1,0
1101,3,1101,1,1101,0,1101,3,1101,5,1101,4,1101,2,1101,2,1101,5
1103.8,6,1103.8,1,1103.8,4,1103.8,4,1103.8,1,1103.8,2,1103.8,5,1103.8,5,1103.8,1
1106.7,9,1106.7,6,1106.7,3,1106.7,6,1106.7,1,1106.7,3,1106.7,3,1106.7,5,1106.7,1
1109.5,6,1109.5,3,1109.5,3,1109.5,4,1109.5,5,1109.5,3,1109.5,3,1109.5,3,1109.5,6
1112.3,6,1112.3,4,1112.3,4,1112.3,4,1112.3,1,1112.3,4,1112.3,5,1112.3,4,1112.3,3
1115.2,5,1115.2,2,1115.2,2,1115.2,2,1115.2,2,1115.2,2,1115.2,4,1115.2,4,1115.2,3
1118,1,1118,1,1118,4,1118,5,1118,2,1118,4,1118,1,1118,5,1118,3
1120.8,1,1120.8,5,1120.8,2,1120.8,3,1120.8,3,1120.8,4,1120.8,5,1120.8,4,1120.8,4
1123.7,4,1123.7,3,1123.7,5,1123.7,4,1123.7,3,1123.7,1,1123.7,3,1123.7,3,1123.7,2
1126.5,3,1126.5,3,1126.5,3,1126.5,4,1126.5,3,1126.5,6,1126.5,5,1126.5,2,1126.5,2
1129.3,4,1129.3,3,1129.3,2,1129.3,5,1129.3,5,1129.3,1,1129.3,4,1129.3,4,1129.3,5
1132.2,4,1132.2,3,1132.2,3,1132.2,5,1132.2,6,1132.2,4,1132.2,2,1132.2,1,1132.2,3
1135,1,1135,2,1135,3,1135,1,1135,2,1135,4,1135,4,1135,3,1135,4
1137.9,3,1137.9,6,1137.9,1,1137.9,0,1137.9,4,1137.9,1,1137.9,4,1137.9,5,1137.9,7
1140.7,3,1140.7,1,1140.7,0,1140.7,0,1140.7,2,1140.7,3,1140.7,2,1140.7,3,1140.7,3
1143.5,1,1143.5,5,1143.5,5,1143.5,5,1143.5,2,1143.5,5,1143.5,2,1143.5,4,1143.5,4
1146.4,3,1146.4,4,1146.4,4,1146.4,4,1146.4,1,1146.4,2,1146.4,2,1146.4,0,1146.4,3
1149.2,3,1149.2,5,1149.2,2,1149.2,4,1149.2,6,1149.2,5,1149.2,4,1149.2,4,1149.2,4
1152,1,1152,3,1152,4,1152,1,1152,4,1152,2,1152,9,1152,5,1152,2
1154.9,6,1154.9,2,1154.9,5,1154.9,5,1154.9,1,1154.9,2,1154.9,5,1154.9,3,1154.9,3
1157.7,3,1157.7,1,1157.7,1,1157.7,6,1157.7,5,1157.7,1,1157.7,5,1157.7,7,1157.7,6
1160.5,5,1160.5,6,1160.5,4,1160.5,7,1160.5,1,1160.5,5,1160.5,2,1160.5,0,1160.5,3
1163.4,6,1163.4,3,1163.4,6,1163.4,7,1163.4,1,1163.4,5,1163.4,2,1163.4,5,1163.4,1
1166.2,8,1166.2,3,1166.2,4,1166.2,3,1166.2,6,1166.2,2,1166.2,6,1166.2,5,1166.2,8
1169.1,4,1169.1,7,1169.1,2,1169.1,6,1169.1,2,1169.1,2,1169.1,5,1169.1,2,1169.1,3
1171.9,6,1171.9,1,1171.9,10,1171.9,3,1171.9,6,1171.9,4,1171.9,6,1171.9,3,1171.9,3
1174.7,3,1174.7,3,1174.7,5,1174.7,2,1174.7,1,1174.7,5,1174.7,2,1174.7,3,1174.7,1
1177.6,1,1177.6,2,1177.6,3,1177.6,7,1177.6,2,1177.6,3,1177.6,5,1177.6,4,1177.6,5
1180.4,8,1180.4,3,1180.4,2,1180.4,7,1180.4,3,1180.4,1,1180.4,5,1180.4,1,1180.4,4
1183.2,3,1183.2,2,1183.2,3,1183.2,3,1183.2,2,1183.2,7,1183.2,4,1183.2,3,1183.2,4
1186.1,1,1186.1,2,1186.1,2,1186.1,4,1186.1,4,1186.1,1,1186.1,3,1186.1,4,1186.1,3
1188.9,1,1188.9,1,1188.9,1,1188.9,2,1188.9,4,1188.9,3,1188.9,2,1188.9,5,1188.9,5
1191.7,1,1191.7,6,1191.7,3,1191.7,1,1191.7,6,1191.7,6,1191.7,7,1191.7,5,1191.7,4
1194.6,0,1194.6,2,1194.6,6,1194.6,5,1194.6,3,1194.6,6,1194.6,3,1194.6,4,1194.6,8
1197.4,6,1197.4,3,1197.4,1,1197.4,5,1197.4,4,1197.4,4,1197.4,6,1197.4,7,1197.4,5
1200.3,3,1200.3,4,1200.3,3,1200.3,3,1200.3,2,1200.3,5,1200.3,3,1200.3,5,1200.3,5
1203.1,4,1203.1,4,1203.1,5,1203.1,3,1203.1,3,1203.1,3,1203.1,4,1203.1,5,1203.1,1
1205.9,3,1205.9,2,1205.9,2,1205.9,4,1205.9,3,1205.9,2,1205.9,2,1205.9,3,1205.9,3
1208.8,9,1208.8,3,1208.8,5,1208.8,3,1208.8,6,1208.8,3,1208.8,3,1208.8,2,1208.8,1
1211.6,1,1211.6,1,1211.6,5,1211.6,4,1211.6,4,1211.6,2,1211.6,3,1211.6,5,1211.6,2
1214.4,1,1214.4,4,1214.4,2,1214.4,3,1214.4,2,1214.4,0,1214.4,2,1214.4,3,1214.4,2
1217.3,3,1217.3,2,1217.3,1,1217.3,0,1217.3,3,1217.3,2,1217.3,4,1217.3,3,1217.3,3
1220.1,3,1220.1,3,1220.1,4,1220.1,1,1220.1,3,1220.1,6,1220.1,1,1220.1,2,1220.1,5
1222.9,4,1222.9,3,1222.9,0,1222.9,2,1222.9,4,1222.9,5,1222.9,7,1222.9,1,1222.9,3
1225.8,5,1225.8,2,1225.8,1,1225.8,3,1225.8,2,1225.8,2,1225.8,3,1225.8,5,1225.8,2
1228.6,4,1228.6,2,1228.6,3,1228.6,6,1228.6,5,1228.6,2,1228.6,3,1228.6,2,1228.6,0
1231.5,2,1231.5,0,1231.5,4,1231.5,2,1231.5,4,1231.5,2,1231.5,5,1231.5,1,1231.5,5
1234.3,2,1234.3,2,1234.3,5,1234.3,4,1234.3,1,1234.3,9,1234.3,3,1234.3,2,1234.3,3
1237.1,1,1237.1,1,1237.1,6,1237.1,7,1237.1,1,1237.1,4,1237.1,1,1237.1,3,1237.1,6
1240,4,1240,2,1240,1,1240,3,1240,4,1240,6,1240,6,1240,2,1240,3
1242.8,11,1242.8,4,1242.8,4,1242.8,6,1242.8,0,1242.8,3,1242.8,3,1242.8,4,1242.8,1
1245.6,5,1245.6,2,1245.6,4,1245.6,1,1245.6,5,1245.6,5,1245.6,2,1245.6,4,1245.6,4
1248.5,2,1248.5,3,1248.5,4,1248.5,1,1248.5,4,1248.5,4,1248.5,3,1248.5,2,1248.5,5
1251.3,8,1251.3,9,1251.3,5,1251.3,5,1251.3,3,1251.3,3,1251.3,4,1251.3,2,1251.3,6
1254.1,2,1254.1,0,1254.1,4,1254.1,6,1254.1,5,1254.1,5,1254.1,4,1254.1,1,1254.1,3
1257,7,1257,3,1257,2,1257,5,1257,3,1257,4,1257,1,1257,3,1257,7
1259.8,6,1259.8,6,1259.8,5,1259.8,4,1259.8,4,1259.8,9,1259.8,5,1259.8,2,1259.8,4
1262.7,9,1262.7,8,1262.7,6,1262.7,3,1262.7,10,1262.7,2,1262.7,6,1262.7,11,1262.7,3
1265.5,8,1265.5,4,1265.5,3,1265.5,4,1265.5,4,1265.5,2,1265.5,5,1265.5,2,1265.5,4
1268.3,10,1268.3,8,1268.3,7,1268.3,7,1268.3,2,1268.3,5,1268.3,6,1268.3,5,1268.3,3
1271.2,2,1271.2,8,1271.2,5,1271.2,4,1271.2,9,1271.2,8,1271.2,4,1271.2,5,1271.2,2
1274,3,1274,6,1274,8,1274,5,1274,4,1274,6,1274,6,1274,2,1274,5
1276.8,5,1276.8,7,1276.8,2,1276.8,7,1276.8,4,1276.8,3,1276.8,8,1276.8,8,1276.8,7
1279.7,6,1279.7,12,1279.7,5,1279.7,2,1279.7,2,1279.7,5,1279.7,5,1279.7,5,1279.7,4
1282.5,8,1282.5,6,1282.5,6,1282.5,7,1282.5,9,1282.5,4,1282.5,6,1282.5,8,1282.5,8
1285.3,8,1285.3,4,1285.3,4,1285.3,7,1285.3,9,1285.3,6,1285.3,3,1285.3,7,1285.3,5
1288.2,12,1288.2,4,1288.2,3,1288.2,4,1288.2,4,1288.2,8,1288.2,6,1288.2,5,1288.2,13
1291,5,1291,6,1291,3,1291,4,1291,6,1291,3,1291,7,1291,6,1291,3
1293.9,13,1293.9,1,1293.9,11,1293.9,9,1293.9,5,1293.9,8,1293.9,5,1293.9,4,1293.9,6
1296.7,4,1296.7,4,1296.7,7,1296.7,5,1296.7,6,1296.7,8,1296.7,1,1296.7,3,1296.7,3
1299.5,6,1299.5,3,1299.5,6,1299.5,5,1299.5,5,1299.5,4,1299.5,3,1299.5,10,1299.5,6
1302.4,8,1302.4,11,1302.4,7,1302.4,5,1302.4,7,1302.4,6,1302.4,2,1302.4,7,1302.4,5
1305.2,9,1305.2,2,1305.2,7,1305.2,7,1305.2,2,1305.2,4,1305.2,4,1305.2,9,1305.2,8
1308,0,1308,8,1308,4,1308,6,1308,6,1308,3,1308,6,1308,8,1308,7
