E_A#3 / keV,N_A#3,E_A#19 / keV,N_A#19,E_A#20 / keV,N_A#20,E_A#21 / keV,N_A#21,E_A#22 / keV,N_A#22,E_A#23 / keV,N_A#23,E_A#24 / keV,N_A#24,E_A#25 / keV,N_A#25,E_A#26 / keV,N_A#26
94,1103,94,321,94,333,94,507,94,651,94,676,94,743,94,826,94,865
96.9,1134,96.9,274,96.9,330,96.9,464,96.9,670,96.9,698,96.9,767,96.9,766,96.9,837
99.7,1072,99.7,231,99.7,346,99.7,481,99.7,676,99.7,664,99.7,696,99.7,820,99.7,873
102.6,1082,102.6,256,102.6,368,102.6,505,102.6,677,102.6,645,102.6,730,102.6,772,102.6,862
105.4,1067,105.4,287,105.4,356,105.4,435,105.4,658,105.4,678,105.4,759,105.4,834,105.4,888
108.2,1120,108.2,274,108.2,364,108.2,454,108.2,639,108.2,624,108.2,756,108.2,772,108.2,836
111.1,1147,111.1,290,111.1,332,111.1,469,111.1,677,111.1,622,111.1,725,111.1,834,111.1,852
113.9,1076,113.9,263,113.9,364,113.9,477,113.9,651,113.9,645,113.9,741,113.9,804,113.9,858
116.7,1104,116.7,245,116.7,334,116.7,492,116.7,664,116.7,662,116.7,743,116.7,783,116.7,828
119.6,1071,119.6,283,119.6,343,119.6,465,119.6,670,119.6,686,119.6,725,119.6,779,119.6,878
122.4,1050,122.4,266,122.4,315,122.4,499,122.4,659,122.4,682,122.4,760,122.4,807,122.4,863
125.2,1069,125.2,258,125.2,328,125.2,488,125.2,643,125.2,660,125.2,714,125.2,784,125.2,802
128.1,1080,128.1,266,128.1,330,128.1,439,128.1,650,128.1,665,128.1,740,128.1,780,128.1,828
130.9,1085,130.9,235,130.9,361,130.9,479,130.9,621,130.9,656,130.9,772,130.9,838,130.9,885
133.8,1150,133.8,304,133.8,339,133.8,475,133.8,677,133.8,699,133.8,743,133.8,793,133.8,934
136.6,1186,136.6,255,136.6,361,136.6,483,136.6,669,136.6,686,136.6,808,136.6,845,136.6,952
139.4,1179,139.4,240,139.4,396,139.4,521,139.4,698,139.4,705,139.4,747,139.4,822,139.4,913
142.3,1200,142.3,278,142.3,350,142.3,518,142.3,716,142.3,711,142.3,815,142.3,864,142.3,988
145.1,1172,145.1,311,145.1,405,145.1,533,145.1,731,145.1,671,145.1,742,145.1,914,145.1,956
147.9,1352,147.9,254,147.9,396,147.9,542,147.9,747,147.9,774,147.9,858,147.9,935,147.9,1035
150.8,1484,150.8,321,150.8,442,150.8,572,150.8,778,150.8,793,150.8,937,150.8,908,150.8,1044
153.6,1521,153.6,319,153.6,449,153.6,553,153.6,744,153.6,812,153.6,901,153.6,992,153.6,1074
156.4,1705,156.4,353,156.4,458,156.4,594,156.4,811,156.4,914,156.4,967,156.4,1056,156.4,1198
159.3,1733,159.3,366,159.3,463,159.3,610,159.3,873,159.3,915,159.3,998,159.3,1051,159.3,1238
162.1,1836,162.1,361,162.1,513,162.1,654,162.1,932,162.1,924,162.1,1089,162.1,1102,162.1,1306
165,1831,165,371,165,483,165,674,165,911,165,961,165,1054,165,1166,165,1304
167.8,1946,167.8,386,167.8,477,167.8,683,167.8,876,167.8,977,167.8,1090,167.8,1163,167.8,1347
170.6,1735,170.6,329,170.6,483,170.6,647,170.6,906,170.6,947,170.6,1089,170.6,1103,170.6,1365
173.5,1815,173.5,361,173.5,461,173.5,622,173.5,909,173.5,925,173.5,1078,173.5,1195,173.5,1238
176.3,1670,176.3,334,176.3,451,176.3,607,176.3,877,176.3,925,176.3,1096,176.3,1134,176.3,1357
179.1,1581,179.1,322,179.1,450,179.1,645,179.1,875,179.1,880,179.1,945,179.1,1116,179.1,1241
182,1616,182,305,182,405,182,591,182,845,182,827,182,937,182,1030,182,1293
184.8,1497,184.8,288,184.8,418,184.8,589,184.8,807,184.8,861,184.8,960,184.8,1066,184.8,1253
187.6,1449,187.6,270,187.6,363,187.6,567,187.6,795,187.6,799,187.6,900,187.6,991,187.6,1186
190.5,1386,190.5,270,190.5,401,190.5,557,190.5,767,190.5,817,190.5,946,190.5,1006,190.5,1138
193.3,1393,193.3,282,193.3,381,193.3,559,193.3,818,193.3,809,193.3,854,193.3,1020,193.3,1131
