E_A#27 / keV,N_A#27,E_A#28 / keV,N_A#28,E_A#29 / keV,N_A#29,E_A#30 / keV,N_A#30,E_A#31 / keV,N_A#31,E_A#32 / keV,N_A#32,E_A#33 / keV,N_A#33,E_A#34 / keV,N_A#34,E_A#35 / keV,N_A#35
99.7,451,99.7,520,99.7,517,99.7,512,99.7,481,99.7,468,99.7,469,99.7,478,99.7,490
102.6,479,102.6,531,102.6,535,102.6,518,102.6,517,102.6,480,102.6,474,102.6,481,102.6,415
105.4,472,105.4,502,105.4,470,105.4,550,105.4,460,105.4,447,105.4,490,105.4,442,105.4,451
108.2,513,108.2,489,108.2,533,108.2,499,108.2,470,108.2,454,108.2,455,108.2,456,108.2,431
111.1,447,111.1,522,111.1,482,111.1,490,111.1,494,111.1,492,111.1,500,111.1,478,111.1,384
113.9,466,113.9,487,113.9,498,113.9,468,113.9,443,113.9,491,113.9,400,113.9,483,113.9,437
116.7,484,116.7,483,116.7,481,116.7,502,116.7,465,116.7,428,116.7,437,116.7,477,116.7,438
119.6,480,119.6,465,119.6,479,119.6,483,119.6,482,119.6,466,119.6,452,119.6,473,119.6,440
122.4,439,122.4,455,122.4,496,122.4,484,122.4,472,122.4,436,122.4,442,122.4,445,122.4,436
125.2,468,125.2,441,125.2,445,125.2,435,125.2,465,125.2,422,125.2,456,125.2,466,125.2,451
128.1,442,128.1,444,128.1,466,128.1,454,128.1,450,128.1,440,128.1,451,128.1,483,128.1,403
130.9,470,130.9,501,130.9,442,130.9,474,130.9,477,130.9,465,130.9,456,130.9,454,130.9,441
133.8,452,133.8,476,133.8,483,133.8,461,133.8,474,133.8,446,133.8,468,133.8,452,133.8,422
136.6,476,136.6,495,136.6,442,136.6,468,136.6,495,136.6,474,136.6,499,136.6,474,136.6,504
139.4,518,139.4,460,139.4,501,139.4,469,139.4,463,139.4,489,139.4,458,139.4,502,139.4,489
142.3,531,142.3,521,142.3,483,142.3,516,142.3,466,142.3,541,142.3,500,142.3,501,142.3,509
145.1,538,145.1,485,145.1,480,145.1,507,145.1,496,145.1,517,145.1,497,145.1,516,145.1,518
147.9,531,147.9,484,147.9,488,147.9,525,147.9,512,147.9,570,147.9,509,147.9,551,147.9,510
150.8,627,150.8,472,150.8,536,150.8,462,150.8,593,150.8,497,150.8,532,150.8,533,150.8,529
153.6,537,153.6,452,153.6,509,153.6,531,153.6,523,153.6,506,153.6,550,153.6,493,153.6,539
156.4,549,156.4,446,156.4,490,156.4,477,156.4,534,156.4,518,156.4,507,156.4,536,156.4,536
159.3,563,159.3,450,159.3,489,159.3,477,159.3,523,159.3,487,159.3,541,159.3,531,159.3,530
162.1,558,162.1,417,162.1,489,162.1,452,162.1,512,162.1,494,162.1,517,162.1,512,162.1,523
165,524,165,428,165,438,165,418,165,473,165,537,165,505,165,463,165,519
167.8,535,167.8,457,167.8,486,167.8,492,167.8,493,167.8,529,167.8,518,167.8,512,167.8,493
170.6,528,170.6,437,170.6,512,170.6,462,170.6,498,170.6,512,170.6,501,170.6,487,170.6,477
173.5,501,173.5,418,173.5,426,173.5,464,173.5,440,173.5,493,173.5,482,173.5,474,173.5,469
176.3,484,176.3,434,176.3,458,176.3,420,176.3,437,176.3,476,176.3,470,176.3,456,176.3,495
179.1,468,179.1,387,179.1,402,179.1,429,179.1,457,179.1,490,179.1,491,179.1,463,179.1,452
182,505,182,396,182,440,182,448,182,448,182,450,182,471,182,446,182,439
184.8,453,184.8,379,184.8,426,184.8,425,184.8,427,184.8,423,184.8,436,184.8,440,184.8,470
187.6,455,187.6,366,187.6,448,187.6,406,187.6,445,187.6,432,187.6,429,187.6,445,187.6,424
190.5,445,190.5,372,190.5,420,190.5,401,190.5,413,190.5,433,190.5,426,190.5,435,190.5,406
193.3,501,193.3,361,193.3,429,193.3,396,193.3,405,193.3,438,193.3,401,193.3,442,193.3,410
196.2,483,196.2,383,196.2,404,196.2,409,196.2,454,196.2,399,196.2,420,196.2,441,196.2,468
199,430,199,361,199,361,199,389,199,464,199,390,199,439,199,445,199,403
201.8,449,201.8,349,201.8,397,201.8,371,201.8,406,201.8,422,201.8,399,201.8,438,201.8,425
204.7,430,204.7,330,204.7,384,204.7,399,204.7,397,204.7,402,204.7,422,204.7,396,204.7,445
207.5,448,207.5,320,207.5,363,207.5,361,207.5,384,207.5,383,207.5,390,207.5,361,207.5,424
210.3,400,210.3,341,210.3,381,210.3,344,210.3,411,210.3,381,210.3,374,210.3,374,210.3,449
213.2,434,213.2,348,213.2,342,213.2,383,213.2,356,213.2,436,213.2,389,213.2,362,213.2,428
216,411,216,339,216,346,216,362,216,370,216,402,216,360,216,410,216,410
218.8,399,218.8,340,218.8,357,218.8,379,218.8,346,218.8,396,218.8,389,218.8,416,218.8,404
221.7,423,221.7,319,221.7,350,221.7,365,221.7,372,221.7,355,221.7,356,221.7,380,221.7,376
224.5,402,224.5,334,224.5,320,224.5,377,224.5,322,224.5,329,224.5,350,224.5,334,224.5,367
227.4,377,227.4,339,227.4,300,227.4,349,227.4,323,227.4,366,227.4,358,227.4,339,227.4,370
230.2,364,230.2,321,230.2,340,230.2,307,230.2,329,230.2,343,230.2,369,230.2,362,230.2,379
233,418,233,316,233,317,233,334,233,336,233,345,233,342,233,319,233,371
235.9,348,235.9,308,235.9,283,235.9,341,235.9,345,235.9,341,235.9,343,235.9,328,235.9,351
238.7,391,238.7,300,238.7,289,238.7,326,238.7,284,238.7,357,238.7,338,238.7,339,238.7,363
241.5,352,241.5,304,241.5,310,241.5,336,241.5,348,241.5,350,241.5,320,241.5,341,241.5,343
244.4,346,244.4,263,244.4,303,244.4,374,244.4,322,244.4,333,244.4,358,244.4,350,244.4,345
247.2,334,247.2,351,247.2,289,247.2,323,247.2,307,247.2,331,247.2,372,247.2,318,247.2,349
250,310,250,305,250,280,250,321,250,325,250,332,250,348,250,343,250,324
252.9,304,252.9,266,252.9,310,252.9,308,252.9,317,252.9,317,252.9,313,252.9,330,252.9,323
255.7,357,255.7,317,255.7,300,255.7,310,255.7,303,255.7,290,255.7,308,255.7,316,255.7,281
258.6,322,258.6,280,258.6,298,258.6,289,258.6,351,258.6,341,258.6,268,258.6,289,258.6,328
261.4,339,261.4,294,261.4,309,261.4,317,261.4,310,261.4,305,261.4,303,261.4,333,261.4,293
264.2,308,264.2,256,264.2,285,264.2,318,264.2,345,264.2,322,264.2,351,264.2,342,264.2,292
267.1,371,267.1,287,267.1,283,267.1,292,267.1,304,267.1,319,267.1,308,267.1,324,267.1,320
269.9,345,269.9,279,269.9,302,269.9,317,269.9,315,269.9,293,269.9,330,269.9,314,269.9,303
272.7,322,272.7,255,272.7,272,272.7,306,272.7,283,272.7,314,272.7,299,272.7,301,272.7,341
275.6,305,275.6,265,275.6,261,275.6,287,275.6,298,275.6,335,275.6,320,275.6,300,275.6,314
278.4,342,278.4,264,278.4,273,278.4,291,278.4,289,278.4,330,278.4,326,278.4,299,278.4,297
281.2,329,281.2,272,281.2,294,281.2,295,281.2,275,281.2,301,281.2,281,281.2,331,281.2,302
284.1,289,284.1,276,284.1,277,284.1,291,284.1,293,284.1,301,284.1,296,284.1,265,284.1,292
286.9,313,286.9,275,286.9,283,286.9,265,286.9,322,286.9,284,286.9,298,286.9,306,286.9,305
289.8,306,289.8,256,289.8,245,289.8,299,289.8,295,289.8,282,289.8,281,289.8,286,289.8,305
292.6,297,292.6,229,292.6,259,292.6,279,292.6,310,292.6,294,292.6,295,292.6,296,292.6,283
295.4,322,295.4,278,295.4,266,295.4,249,295.4,292,295.4,306,295.4,260,295.4,308,295.4,270
298.3,312,298.3,252,298.3,276,298.3,257,298.3,280,298.3,295,298.3,294,298.3,297,298.3,279
301.1,293,301.1,273,301.1,280,301.1,255,301.1,288,301.1,262,301.1,301,301.1,267,301.1,303
303.9,289,303.9,266,303.9,226,303.9,263,303.9,256,303.9,261,303.9,277,303.9,275,303.9,259
306.8,275,306.8,239,306.8,244,306.8,244,306.8,222,306.8,283,306.8,240,306.8,239,306.8,250
309.6,258,309.6,207,309.6,253,309.6,207,309.6,246,309.6,234,309.6,272,309.6,251,309.6,246
312.4,260,312.4,231,312.4,229,312.4,245,312.4,229,312.4,254,312.4,253,312.4,236,312.4,233
315.3,257,315.3,216,315.3,219,315.3,227,315.3,246,315.3,246,315.3,253,315.3,275,315.3,230
318.1,242,318.1,216,318.1,195,318.1,221,318.1,228,318.1,252,318.1,233,318.1,244,318.1,252
321,240,321,239,321,242,321,250,321,216,321,216,321,229,321,232,321,242
323.8,241,323.8,221,323.8,245,323.8,236,323.8,205,323.8,199,323.8,240,323.8,204,323.8,230
326.6,201,326.6,237,326.6,216,326.6,250,326.6,213,326.6,206,326.6,214,326.6,204,326.6,208
329.5,211,329.5,207,329.5,219,329.5,202,329.5,229,329.5,205,329.5,200,329.5,192,329.5,196
332.3,208,332.3,217,332.3,198,332.3,217,332.3,216,332.3,167,332.3,192,332.3,195,332.3,223
335.1,176,335.1,194,335.1,194,335.1,228,335.1,180,335.1,183,335.1,188,335.1,181,335.1,186
338,188,338,162,338,206,338,201,338,199,338,191,338,190,338,200,338,190
340.8,163,340.8,186,340.8,220,340.8,192,340.8,199,340.8,191,340.8,216,340.8,215,340.8,187
343.7,167,343.7,186,343.7,197,343.7,193,343.7,156,343.7,155,343.7,189,343.7,169,343.7,171
346.5,153,346.5,196,346.5,184,346.5,161,346.5,174,346.5,169,346.5,163,346.5,172,346.5,182
349.3,157,349.3,196,349.3,183,349.3,171,349.3,153,349.3,168,349.3,184,349.3,172,349.3,167
352.2,140,352.2,205,352.2,202,352.2,168,352.2,179,352.2,145,352.2,171,352.2,153,352.2,160
355,138,355,190,355,182,355,209,355,167,355,132,355,147,355,166,355,164
357.8,138,357.8,174,357.8,174,357.8,162,357.8,141,357.8,150,357.8,169,357.8,158,357.8,143
360.7,143,360.7,178,360.7,203,360.7,161,360.7,169,360.7,151,360.7,145,360.7,145,360.7,146
363.5,144,363.5,186,363.5,178,363.5,187,363.5,178,363.5,134,363.5,155,363.5,142,363.5,120
366.3,127,366.3,164,366.3,164,366.3,167,366.3,151,366.3,150,366.3,155,366.3,132,366.3,153
369.2,132,369.2,147,369.2,194,369.2,155,369.2,142,369.2,142,369.2,143,369.2,154,369.2,157
372,121,372,188,372,162,372,150,372,171,372,133,372,151,372,133,372,140
374.9,118,374.9,161,374.9,160,374.9,169,374.9,181,374.9,151,374.9,142,374.9,132,374.9,122
377.7,126,377.7,168,377.7,157,377.7,136,377.7,128,377.7,131,377.7,152,377.7,133,377.7,144
380.5,122,380.5,188,380.5,162,380.5,167,380.5,166,380.5,130,380.5,126,380.5,126,380.5,140
383.4,117,383.4,172,383.4,148,383.4,137,383.4,132,383.4,134,383.4,165,383.4,130,383.4,139
386.2,126,386.2,178,386.2,159,386.2,167,386.2,140,386.2,133,386.2,150,386.2,138,386.2,140
389,117,389,167,389,158,389,144,389,141,389,145,389,139,389,127,389,103
391.9,103,391.9,154,391.9,147,391.9,157,391.9,132,391.9,138,391.9,125,391.9,126,391.9,130
394.7,114,394.7,178,394.7,153,394.7,138,394.7,162,394.7,124,394.7,130,394.7,131,394.7,126
397.5,118,397.5,148,397.5,173,397.5,173,397.5,135,397.5,139,397.5,127,397.5,113,397.5,132
400.4,117,400.4,146,400.4,159,400.4,179,400.4,132,400.4,126,400.4,124,400.4,130,400.4,115
403.2,112,403.2,177,403.2,140,403.2,167,403.2,135,403.2,132,403.2,125,403.2,135,403.2,109
406.1,99,406.1,162,406.1,155,406.1,158,406.1,149,406.1,110,406.1,124,406.1,107,406.1,125
408.9,96,408.9,141,408.9,137,408.9,145,408.9,129,408.9,115,408.9,118,408.9,129,408.9,128
411.7,102,411.7,139,411.7,144,411.7,158,411.7,120,411.7,118,411.7,116,411.7,122,411.7,80
