E_A#27 / keV,N_A#27,E_A#28 / keV,N_A#28,E_A#29 / keV,N_A#29,E_A#30 / keV,N_A#30,E_A#31 / keV,N_A#31,E_A#32 / keV,N_A#32,E_A#33 / keV,N_A#33,E_A#34 / keV,N_A#34,E_A#35 / keV,N_A#35
661.3,161,661.3,167,661.3,151,661.3,154,661.3,191,661.3,146,661.3,153,661.3,165,661.3,150
664.2,166,664.2,166,664.2,169,664.2,181,664.2,162,664.2,189,664.2,184,664.2,197,664.2,169
667,156,667,179,667,199,667,170,667,148,667,197,667,178,667,188,667,198
669.8,161,669.8,153,669.8,161,669.8,166,669.8,167,669.8,166,669.8,155,669.8,159,669.8,161
672.7,171,672.7,153,672.7,164,672.7,141,672.7,148,672.7,153,672.7,157,672.7,150,672.7,158
675.5,143,675.5,164,675.5,174,675.5,156,675.5,149,675.5,193,675.5,163,675.5,166,675.5,158
678.3,175,678.3,172,678.3,164,678.3,187,678.3,166,678.3,159,678.3,159,678.3,173,678.3,158
681.2,162,681.2,147,681.2,165,681.2,159,681.2,153,681.2,148,681.2,161,681.2,147,681.2,138
684,152,684,132,684,168,684,137,684,138,684,134,684,132,684,163,684,136
686.9,139,686.9,134,686.9,136,686.9,128,686.9,125,686.9,122,686.9,129,686.9,141,686.9,124
689.7,131,689.7,107,689.7,118,689.7,124,689.7,115,689.7,132,689.7,129,689.7,156,689.7,155
692.5,95,692.5,111,692.5,104,692.5,100,692.5,121,692.5,112,692.5,123,692.5,99,692.5,92
695.4,96,695.4,94,695.4,91,695.4,96,695.4,97,695.4,108,695.4,106,695.4,97,695.4,113
698.2,74,698.2,63,698.2,78,698.2,75,698.2,71,698.2,97,698.2,89,698.2,89,698.2,83
701,81,701,71,701,76,701,61,701,91,701,61,701,79,701,84,701,64
703.9,61,703.9,67,703.9,53,703.9,72,703.9,77,703.9,67,703.9,67,703.9,84,703.9,59
706.7,66,706.7,55,706.7,61,706.7,51,706.7,70,706.7,52,706.7,55,706.7,60,706.7,53
709.6,54,709.6,54,709.6,46,709.6,41,709.6,42,709.6,40,709.6,45,709.6,50,709.6,46
712.4,42,712.4,32,712.4,49,712.4,34,712.4,32,712.4,48,712.4,47,712.4,45,712.4,45
715.2,29,715.2,30,715.2,32,715.2,43,715.2,38,715.2,44,715.2,48,715.2,39,715.2,48
718.1,38,718.1,33,718.1,42,718.1,33,718.1,41,718.1,44,718.1,36,718.1,43,718.1,37
720.9,41,720.9,27,720.9,26,720.9,25,720.9,32,720.9,30,720.9,29,720.9,36,720.9,36
723.7,39,723.7,28,723.7,33,723.7,30,723.7,29,723.7,28,723.7,37,723.7,40,723.7,35
726.6,48,726.6,23,726.6,27,726.6,23,726.6,31,726.6,28,726.6,37,726.6,37,726.6,49
729.4,38,729.4,25,729.4,25,729.4,32,729.4,34,729.4,32,729.4,30,729.4,23,729.4,28
732.2,24,732.2,23,732.2,22,732.2,31,732.2,33,732.2,23,732.2,30,732.2,35,732.2,32
735.1,32,735.1,28,735.1,14,735.1,15,735.1,28,735.1,25,735.1,26,735.1,31,735.1,30
737.9,30,737.9,19,737.9,32,737.9,31,737.9,27,737.9,33,737.9,26,737.9,31,737.9,38
740.8,29,740.8,22,740.8,37,740.8,26,740.8,24,740.8,29,740.8,20,740.8,17,740.8,21
743.6,33,743.6,26,743.6,19,743.6,25,743.6,27,743.6,26,743.6,26,743.6,32,743.6,23
746.4,21,746.4,31,746.4,22,746.4,21,746.4,17,746.4,38,746.4,28,746.4,29,746.4,28
749.3,25,749.3,25,749.3,17,749.3,26,749.3,23,749.3,28,749.3,18,749.3,17,749.3,34
752.1,29,752.1,25,752.1,16,752.1,35,752.1,35,752.1,32,752.1,14,752.1,26,752.1,33
754.9,31,754.9,28,754.9,18,754.9,19,754.9,35,754.9,23,754.9,41,754.9,23,754.9,23
757.8,20,757.8,26,757.8,17,757.8,25,757.8,26,757.8,31,757.8,34,757.8,36,757.8,27
760.6,29,760.6,27,760.6,16,760.6,24,760.6,23,760.6,28,760.6,31,760.6,30,760.6,14
763.4,28,763.4,25,763.4,30,763.4,25,763.4,20,763.4,24,763.4,34,763.4,30,763.4,23
766.3,26,766.3,29,766.3,24,766.3,28,766.3,18,766.3,30,766.3,17,766.3,30,766.3,27
769.1,20,769.1,26,769.1,25,769.1,26,769.1,23,769.1,30,769.1,31,769.1,27,769.1,33
772,33,772,32,772,25,772,31,772,24,772,28,772,24,772,31,772,35
774.8,34,774.8,23,774.8,24,774.8,31,774.8,38,774.8,33,774.8,23,774.8,32,774.8,29
777.6,29,777.6,25,777.6,30,777.6,21,777.6,29,777.6,34,777.6,32,777.6,31,777.6,32
780.5,21,780.5,28,780.5,27,780.5,30,780.5,29,780.5,33,780.5,27,780.5,22,780.5,31
783.3,34,783.3,26,783.3,26,783.3,30,783.3,23,783.3,33,783.3,44,783.3,36,783.3,34
786.1,33,786.1,24,786.1,21,786.1,34,786.1,31,786.1,20,786.1,30,786.1,32,786.1,27
789,23,789,23,789,22,789,27,789,20,789,30,789,33,789,30,789,28
791.8,27,791.8,19,791.8,31,791.8,34,791.8,17,791.8,33,791.8,36,791.8,26,791.8,26
794.6,24,794.6,36,794.6,26,794.6,23,794.6,26,794.6,22,794.6,36,794.6,27,794.6,24
797.5,29,797.5,20,797.5,22,797.5,25,797.5,27,797.5,29,797.5,32,797.5,27,797.5,27
800.3,32,800.3,31,800.3,30,800.3,26,800.3,24,800.3,32,800.3,27,800.3,27,800.3,37
803.2,26,803.2,23,803.2,17,803.2,25,803.2,20,803.2,20,803.2,34,803.2,29,803.2,28
806,31,806,26,806,23,806,22,806,31,806,23,806,23,806,30,806,32
808.8,26,808.8,23,808.8,13,808.8,23,808.8,32,808.8,33,808.8,21,808.8,35,808.8,26
811.7,27,811.7,33,811.7,27,811.7,25,811.7,28,811.7,27,811.7,32,811.7,29,811.7,28
814.5,29,814.5,24,814.5,24,814.5,24,814.5,28,814.5,27,814.5,28,814.5,29,814.5,28
817.3,34,817.3,22,817.3,23,817.3,33,817.3,27,817.3,29,817.3,23,817.3,30,817.3,25
820.2,34,820.2,18,820.2,31,820.2,28,820.2,29,820.2,27,820.2,26,820.2,34,820.2,25
823,26,823,18,823,35,823,26,823,25,823,30,823,28,823,22,823,33
825.8,26,825.8,21,825.8,24,825.8,27,825.8,31,825.8,36,825.8,24,825.8,23,825.8,25
828.7,30,828.7,31,828.7,27,828.7,25,828.7,24,828.7,34,828.7,34,828.7,26,828.7,30
831.5,26,831.5,31,831.5,23,831.5,28,831.5,31,831.5,28,831.5,31,831.5,22,831.5,35
834.4,34,834.4,27,834.4,33,834.4,28,834.4,29,834.4,37,834.4,19,834.4,31,834.4,30
837.2,38,837.2,26,837.2,26,837.2,41,837.2,41,837.2,27,837.2,29,837.2,30,837.2,27
840,32,840,26,840,22,840,29,840,22,840,25,840,23,840,30,840,29
842.9,29,842.9,19,842.9,25,842.9,27,842.9,27,842.9,39,842.9,20,842.9,25,842.9,29
845.7,25,845.7,18,845.7,21,845.7,23,845.7,19,845.7,31,845.7,23,845.7,31,845.7,26
848.5,23,848.5,15,848.5,24,848.5,19,848.5,27,848.5,24,848.5,23,848.5,32,848.5,36
851.4,28,851.4,25,851.4,24,851.4,25,851.4,25,851.4,35,851.4,24,851.4,33,851.4,28
854.2,25,854.2,27,854.2,24,854.2,19,854.2,32,854.2,28,854.2,33,854.2,33,854.2,26
857,29,857,19,857,18,857,31,857,29,857,36,857,28,857,42,857,34
859.9,25,859.9,30,859.9,28,859.9,28,859.9,27,859.9,26,859.9,37,859.9,26,859.9,32
862.7,24,862.7,16,862.7,27,862.7,32,862.7,28,862.7,27,862.7,18,862.7,32,862.7,32
865.6,29,865.6,21,865.6,22,865.6,25,865.6,30,865.6,34,865.6,29,865.6,30,865.6,29
868.4,28,868.4,28,868.4,27,868.4,27,868.4,34,868.4,37,868.4,23,868.4,27,868.4,30
871.2,30,871.2,23,871.2,19,871.2,28,871.2,29,871.2,38,871.2,20,871.2,28,871.2,28
874.1,29,874.1,16,874.1,18,874.1,32,874.1,25,874.1,31,874.1,33,874.1,24,874.1,28
876.9,26,876.9,26,876.9,34,876.9,22,876.9,27,876.9,29,876.9,30,876.9,39,876.9,30
879.7,28,879.7,29,879.7,24,879.7,24,879.7,29,879.7,30,879.7,33,879.7,28,879.7,35
882.6,33,882.6,18,882.6,31,882.6,26,882.6,34,882.6,37,882.6,38,882.6,33,882.6,30
885.4,32,885.4,28,885.4,30,885.4,30,885.4,29,885.4,32,885.4,29,885.4,21,885.4,24
888.2,27,888.2,22,888.2,32,888.2,29,888.2,36,888.2,26,888.2,28,888.2,43,888.2,29
891.1,33,891.1,26,891.1,20,891.1,22,891.1,26,891.1,34,891.1,27,891.1,29,891.1,36
893.9,34,893.9,21,893.9,29,893.9,26,893.9,30,893.9,37,893.9,31,893.9,25,893.9,38
896.8,37,896.8,25,896.8,28,896.8,29,896.8,25,896.8,29,896.8,26,896.8,36,896.8,31
899.6,29,899.6,15,899.6,39,899.6,36,899.6,27,899.6,35,899.6,31,899.6,24,899.6,32
902.4,25,902.4,32,902.4,29,902.4,26,902.4,24,902.4,46,902.4,32,902.4,45,902.4,32
905.3,29,905.3,21,905.3,29,905.3,26,905.3,27,905.3,29,905.3,29,905.3,41,905.3,43
908.1,36,908.1,26,908.1,22,908.1,32,908.1,34,908.1,37,908.1,35,908.1,36,908.1,17
910.9,24,910.9,21,910.9,23,910.9,24,910.9,24,910.9,36,910.9,28,910.9,19,910.9,39
913.8,28,913.8,26,913.8,27,913.8,26,913.8,23,913.8,31,913.8,19,913.8,33,913.8,33
916.6,39,916.6,29,916.6,23,916.6,33,916.6,17,916.6,30,916.6,28,916.6,29,916.6,33
919.4,41,919.4,26,919.4,21,919.4,33,919.4,23,919.4,31,919.4,36,919.4,32,919.4,35
922.3,29,922.3,37,922.3,18,922.3,30,922.3,33,922.3,31,922.3,27,922.3,34,922.3,34
925.1,39,925.1,20,925.1,22,925.1,29,925.1,38,925.1,33,925.1,29,925.1,32,925.1,29
928,24,928,26,928,28,928,19,928,29,928,27,928,35,928,28,928,38
930.8,36,930.8,32,930.8,28,930.8,41,930.8,32,930.8,28,930.8,34,930.8,21,930.8,29
933.6,29,933.6,26,933.6,18,933.6,29,933.6,33,933.6,36,933.6,26,933.6,35,933.6,32
936.5,31,936.5,25,936.5,18,936.5,24,936.5,27,936.5,30,936.5,29,936.5,26,936.5,34
939.3,39,939.3,27,939.3,20,939.3,40,939.3,26,939.3,36,939.3,31,939.3,32,939.3,28
942.1,40,942.1,26,942.1,36,942.1,35,942.1,31,942.1,31,942.1,30,942.1,31,942.1,41
945,28,945,24,945,25,945,27,945,38,945,39,945,41,945,20,945,39
947.8,41,947.8,31,947.8,25,947.8,32,947.8,23,947.8,34,947.8,30,947.8,28,947.8,33
950.6,35,950.6,26,950.6,25,950.6,34,950.6,25,950.6,34,950.6,38,950.6,29,950.6,44
953.5,35,953.5,35,953.5,29,953.5,21,953.5,31,953.5,30,953.5,30,953.5,32,953.5,28
956.3,36,956.3,35,956.3,26,956.3,15,956.3,26,956.3,33,956.3,37,956.3,32,956.3,32
959.2,40,959.2,22,959.2,27,959.2,22,959.2,30,959.2,33,959.2,24,959.2,39,959.2,38
962,33,962,27,962,31,962,30,962,28,962,23,962,34,962,40,962,39
964.8,30,964.8,33,964.8,17,964.8,31,964.8,41,964.8,30,964.8,22,964.8,30,964.8,32
967.7,42,967.7,28,967.7,30,967.7,28,967.7,39,967.7,29,967.7,38,967.7,36,967.7,38
970.5,36,970.5,24,970.5,23,970.5,27,970.5,37,970.5,33,970.5,33,970.5,41,970.5,44
973.3,29,973.3,24,973.3,20,973.3,29,973.3,26,973.3,34,973.3,26,973.3,34,973.3,35
976.2,43,976.2,25,976.2,38,976.2,39,976.2,31,976.2,44,976.2,32,976.2,25,976.2,36
979,36,979,30,979,32,979,30,979,24,979,28,979,39,979,33,979,38
981.8,35,981.8,24,981.8,35,981.8,22,981.8,38,981.8,41,981.8,36,981.8,29,981.8,25
984.7,35,984.7,26,984.7,26,984.7,30,984.7,35,984.7,34,984.7,41,984.7,37,984.7,44
987.5,42,987.5,30,987.5,15,987.5,31,987.5,31,987.5,26,987.5,34,987.5,37,987.5,38
990.4,38,990.4,34,990.4,29,990.4,20,990.4,32,990.4,29,990.4,27,990.4,39,990.4,31
993.2,39,993.2,21,993.2,21,993.2,38,993.2,31,993.2,32,993.2,44,993.2,38,993.2,33
996,44,996,25,996,29,996,22,996,25,996,25,996,35,996,34,996,44
998.9,31,998.9,23,998.9,31,998.9,28,998.9,34,998.9,38,998.9,39,998.9,45,998.9,37
1001.7,36,1001.7,23,1001.7,27,1001.7,31,1001.7,27,1001.7,36,1001.7,38,1001.7,27,1001.7,25
1004.5,32,1004.5,20,1004.5,22,1004.5,23,1004.5,29,1004.5,37,1004.5,36,1004.5,34,1004.5,42
1007.4,35,1007.4,22,1007.4,20,1007.4,20,1007.4,35,1007.4,39,1007.4,32,1007.4,32,1007.4,35
1010.2,42,1010.2,20,1010.2,31,1010.2,30,1010.2,42,1010.2,34,1010.2,38,1010.2,28,1010.2,41
1013,31,1013,26,1013,15,1013,23,1013,21,1013,41,1013,43,1013,31,1013,43
1015.9,36,1015.9,17,1015.9,25,1015.9,32,1015.9,39,1015.9,28,1015.9,35,1015.9,29,1015.9,35
1018.7,30,1018.7,17,1018.7,23,1018.7,33,1018.7,31,1018.7,25,1018.7,46,1018.7,39,1018.7,40
1021.6,35,1021.6,20,1021.6,27,1021.6,28,1021.6,34,1021.6,35,1021.6,37,1021.6,27,1021.6,39
1024.4,25,1024.4,30,1024.4,32,1024.4,30,1024.4,31,1024.4,34,1024.4,33,1024.4,35,1024.4,32
1027.2,32,1027.2,36,1027.2,27,1027.2,28,1027.2,24,1027.2,42,1027.2,36,1027.2,36,1027.2,33
1030.1,41,1030.1,30,1030.1,26,1030.1,25,1030.1,18,1030.1,36,1030.1,39,1030.1,48,1030.1,35
1032.9,33,1032.9,22,1032.9,17,1032.9,33,1032.9,29,1032.9,22,1032.9,28,1032.9,30,1032.9,17
1035.7,33,1035.7,13,1035.7,14,1035.7,20,1035.7,29,1035.7,35,1035.7,23,1035.7,31,1035.7,37
1038.6,28,1038.6,19,1038.6,20,1038.6,23,1038.6,36,1038.6,31,1038.6,35,1038.6,31,1038.6,22
1041.4,22,1041.4,26,1041.4,31,1041.4,26,1041.4,31,1041.4,28,1041.4,27,1041.4,33,1041.4,27
1044.2,37,1044.2,22,1044.2,25,1044.2,25,1044.2,20,1044.2,34,1044.2,31,1044.2,26,1044.2,23
1047.1,26,1047.1,14,1047.1,19,1047.1,25,1047.1,19,1047.1,19,1047.1,20,1047.1,22,1047.1,27
1049.9,24,1049.9,18,1049.9,9,1049.9,23,1049.9,19,1049.9,20,1049.9,33,1049.9,26,1049.9,29
1052.8,20,1052.8,17,1052.8,13,1052.8,13,1052.8,19,1052.8,22,1052.8,24,1052.8,24,1052.8,24
1055.6,25,1055.6,12,1055.6,18,1055.6,25,1055.6,25,1055.6,21,1055.6,31,1055.6,24,1055.6,22
1058.4,23,1058.4,17,1058.4,24,1058.4,11,1058.4,11,1058.4,21,1058.4,17,1058.4,25,1058.4,24
1061.3,27,1061.3,17,1061.3,16,1061.3,15,1061.3,24,1061.3,26,1061.3,31,1061.3,20,1061.3,20
1064.1,24,1064.1,13,1064.1,19,1064.1,15,1064.1,15,1064.1,24,1064.1,23,1064.1,20,1064.1,22
1066.9,26,1066.9,18,1066.9,18,1066.9,20,1066.9,18,1066.9,17,1066.9,25,1066.9,15,1066.9,22
1069.8,28,1069.8,12,1069.8,19,1069.8,22,1069.8,15,1069.8,12,1069.8,24,1069.8,19,1069.8,14
1072.6,27,1072.6,15,1072.6,10,1072.6,12,1072.6,14,1072.6,20,1072.6,15,1072.6,15,1072.6,22
1075.4,19,1075.4,15,1075.4,12,1075.4,15,1075.4,19,1075.4,18,1075.4,14,1075.4,18,1075.4,18
1078.3,29,1078.3,10,1078.3,9,1078.3,18,1078.3,11,1078.3,13,1078.3,23,1078.3,17,1078.3,20
1081.1,13,1081.1,19,1081.1,15,1081.1,12,1081.1,18,1081.1,15,1081.1,13,1081.1,20,1081.1,22
1084,9,1084,15,1084,15,1084,20,1084,23,1084,16,1084,20,1084,20,1084,14
1086.8,10,1086.8,10,1086.8,12,1086.8,14,1086.8,8,1086.8,13,1086.8,22,1086.8,12,1086.8,12
1089.6,14,1089.6,7,1089.6,12,1089.6,13,1089.6,11,1089.6,16,1089.6,16,1089.6,12,1089.6,19
1092.5,12,1092.5,14,1092.5,13,1092.5,11,1092.5,14,1092.5,13,1092.5,15,1092.5,14,1092.5,12
1095.3,13,1095.3,7,1095.3,8,1095.3,9,1095.3,12,1095.3,17,1095.3,15,1095.3,17,1095.3,11
1098.1,13,1098.1,9,1098.1,14,1098.1,8,1098.1,11,1098.1,12,1098.1,18,1098.1,15,1098.1,12
1101,13,1101,7,1101,11,1101,7,1101,14,1101,16,1101,17,1101,7,1101,8
1103.8,6,1103.8,9,1103.8,5,1103.8,11,1103.8,12,1103.8,14,1103.8,11,1103.8,6,1103.8,6
1106.7,5,1106.7,13,1106.7,15,1106.7,14,1106.7,10,1106.7,19,1106.7,5,1106.7,9,1106.7,9
1109.5,12,1109.5,9,1109.5,10,1109.5,15,1109.5,7,1109.5,9,1109.5,17,1109.5,9,1109.5,13
1112.3,14,1112.3,11,1112.3,10,1112.3,8,1112.3,6,1112.3,5,1112.3,15,1112.3,10,1112.3,9
1115.2,14,1115.2,8,1115.2,10,1115.2,6,1115.2,11,1115.2,12,1115.2,3,1115.2,5,1115.2,7
1118,11,1118,6,1118,13,1118,14,1118,8,1118,13,1118,13,1118,11,1118,12
1120.8,7,1120.8,8,1120.8,12,1120.8,5,1120.8,10,1120.8,6,1120.8,7,1120.8,9,1120.8,12
1123.7,8,1123.7,12,1123.7,6,1123.7,6,1123.7,20,1123.7,7,1123.7,6,1123.7,16,1123.7,11
1126.5,5,1126.5,13,1126.5,12,1126.5,7,1126.5,9,1126.5,6,1126.5,3,1126.5,12,1126.5,11
1129.3,9,1129.3,12,1129.3,8,1129.3,10,1129.3,7,1129.3,9,1129.3,9,1129.3,9,1129.3,6
1132.2,3,1132.2,10,1132.2,9,1132.2,10,1132.2,8,1132.2,5,1132.2,14,1132.2,13,1132.2,9
1135,2,1135,11,1135,10,1135,11,1135,8,1135,13,1135,9,1135,5,1135,4
1137.9,5,1137.9,11,1137.9,11,1137.9,5,1137.9,9,1137.9,6,1137.9,6,1137.9,10,1137.9,7
1140.7,7,1140.7,6,1140.7,8,1140.7,6,1140.7,10,1140.7,9,1140.7,3,1140.7,7,1140.7,7
1143.5,12,1143.5,14,1143.5,9,1143.5,9,1143.5,5,1143.5,11,1143.5,10,1143.5,9,1143.5,4
1146.4,9,1146.4,10,1146.4,4,1146.4,9,1146.4,7,1146.4,6,1146.4,11,1146.4,3,1146.4,10
1149.2,12,1149.2,3,1149.2,5,1149.2,3,1149.2,4,1149.2,14,1149.2,11,1149.2,9,1149.2,6
1152,7,1152,8,1152,11,1152,9,1152,11,1152,10,1152,5,1152,6,1152,6
1154.9,3,1154.9,7,1154.9,13,1154.9,11,1154.9,4,1154.9,6,1154.9,8,1154.9,9,1154.9,8
1157.7,14,1157.7,9,1157.7,4,1157.7,5,1157.7,5,1157.7,9,1157.7,8,1157.7,6,1157.7,10
1160.5,6,1160.5,5,1160.5,4,1160.5,6,1160.5,10,1160.5,5,1160.5,6,1160.5,1,1160.5,12
1163.4,6,1163.4,9,1163.4,10,1163.4,10,1163.4,3,1163.4,7,1163.4,4,1163.4,14,1163.4,7
1166.2,7,1166.2,9,1166.2,3,1166.2,11,1166.2,8,1166.2,8,1166.2,7,1166.2,4,1166.2,4
1169.1,9,1169.1,5,1169.1,8,1169.1,8,1169.1,7,1169.1,5,1169.1,5,1169.1,7,1169.1,6
1171.9,6,1171.9,5,1171.9,7,1171.9,3,1171.9,6,1171.9,8,1171.9,6,1171.9,3,1171.9,7
1174.7,4,1174.7,9,1174.7,7,1174.7,7,1174.7,8,1174.7,8,1174.7,5,1174.7,7,1174.7,6
1177.6,6,1177.6,8,1177.6,6,1177.6,9,1177.6,4,1177.6,9,1177.6,6,1177.6,4,1177.6,6
1180.4,7,1180.4,11,1180.4,10,1180.4,6,1180.4,7,1180.4,4,1180.4,6,1180.4,3,1180.4,6
1183.2,6,1183.2,4,1183.2,8,1183.2,9,1183.2,7,1183.2,11,1183.2,15,1183.2,12,1183.2,7
1186.1,6,1186.1,4,1186.1,11,1186.1,11,1186.1,5,1186.1,9,1186.1,6,1186.1,3,1186.1,4
1188.9,6,1188.9,4,1188.9,8,1188.9,5,1188.9,6,1188.9,5,1188.9,2,1188.9,7,1188.9,7
1191.7,9,1191.7,8,1191.7,9,1191.7,8,1191.7,9,1191.7,4,1191.7,8,1191.7,8,1191.7,6
1194.6,7,1194.6,6,1194.6,10,1194.6,10,1194.6,7,1194.6,6,1194.6,6,1194.6,8,1194.6,10
1197.4,5,1197.4,8,1197.4,5,1197.4,6,1197.4,8,1197.4,11,1197.4,4,1197.4,9,1197.4,8
1200.3,11,1200.3,9,1200.3,8,1200.3,9,1200.3,11,1200.3,6,1200.3,5,1200.3,5,1200.3,6
1203.1,10,1203.1,5,1203.1,11,1203.1,11,1203.1,6,1203.1,9,1203.1,8,1203.1,9,1203.1,8
1205.9,7,1205.9,5,1205.9,11,1205.9,5,1205.9,6,1205.9,7,1205.9,8,1205.9,7,1205.9,7
1208.8,8,1208.8,10,1208.8,9,1208.8,8,1208.8,7,1208.8,9,1208.8,2,1208.8,8,1208.8,3
1211.6,12,1211.6,5,1211.6,11,1211.6,10,1211.6,9,1211.6,5,1211.6,6,1211.6,10,1211.6,8
1214.4,8,1214.4,2,1214.4,9,1214.4,5,1214.4,11,1214.4,10,1214.4,5,1214.4,9,1214.4,8
1217.3,13,1217.3,9,1217.3,10,1217.3,12,1217.3,5,1217.3,5,1217.3,8,1217.3,12,1217.3,13
1220.1,13,1220.1,5,1220.1,13,1220.1,8,1220.1,12,1220.1,16,1220.1,9,1220.1,11,1220.1,11
1222.9,2,1222.9,7,1222.9,12,1222.9,12,1222.9,13,1222.9,13,1222.9,10,1222.9,7,1222.9,9
1225.8,15,1225.8,7,1225.8,12,1225.8,13,1225.8,18,1225.8,15,1225.8,13,1225.8,10,1225.8,5
1228.6,12,1228.6,15,1228.6,14,1228.6,13,1228.6,19,1228.6,17,1228.6,12,1228.6,12,1228.6,14
1231.5,16,1231.5,16,1231.5,20,1231.5,24,1231.5,20,1231.5,18,1231.5,15,1231.5,14,1231.5,13
1234.3,17,1234.3,13,1234.3,20,1234.3,13,1234.3,23,1234.3,27,1234.3,17,1234.3,20,1234.3,20
1237.1,23,1237.1,18,1237.1,21,1237.1,25,1237.1,25,1237.1,32,1237.1,26,1237.1,26,1237.1,35
1240,33,1240,14,1240,23,1240,22,1240,33,1240,29,1240,20,1240,24,1240,29
1242.8,34,1242.8,24,1242.8,20,1242.8,24,1242.8,25,1242.8,39,1242.8,34,1242.8,33,1242.8,26
1245.6,42,1245.6,22,1245.6,21,1245.6,38,1245.6,39,1245.6,37,1245.6,32,1245.6,24,1245.6,38
1248.5,57,1248.5,27,1248.5,27,1248.5,31,1248.5,40,1248.5,53,1248.5,45,1248.5,44,1248.5,41
1251.3,63,1251.3,36,1251.3,27,1251.3,37,1251.3,45,1251.3,55,1251.3,49,1251.3,53,1251.3,58
1254.1,49,1254.1,28,1254.1,47,1254.1,51,1254.1,60,1254.1,59,1254.1,54,1254.1,66,1254.1,43
1257,74,1257,42,1257,49,1257,52,1257,69,1257,62,1257,63,1257,90,1257,53
1259.8,72,1259.8,35,1259.8,63,1259.8,52,1259.8,64,1259.8,55,1259.8,60,1259.8,46,1259.8,54
1262.7,84,1262.7,46,1262.7,56,1262.7,70,1262.7,73,1262.7,77,1262.7,68,1262.7,65,1262.7,72
1265.5,86,1265.5,37,1265.5,68,1265.5,56,1265.5,71,1265.5,90,1265.5,67,1265.5,94,1265.5,68
1268.3,74,1268.3,58,1268.3,60,1268.3,75,1268.3,85,1268.3,80,1268.3,93,1268.3,79,1268.3,91
1271.2,103,1271.2,55,1271.2,67,1271.2,68,1271.2,95,1271.2,78,1271.2,96,1271.2,98,1271.2,92
1274,112,1274,48,1274,73,1274,84,1274,90,1274,92,1274,81,1274,90,1274,91
1276.8,119,1276.8,66,1276.8,65,1276.8,80,1276.8,85,1276.8,88,1276.8,111,1276.8,95,1276.8,102
1279.7,113,1279.7,65,1279.7,63,1279.7,83,1279.7,104,1279.7,86,1279.7,105,1279.7,100,1279.7,112
1282.5,115,1282.5,65,1282.5,71,1282.5,82,1282.5,99,1282.5,108,1282.5,100,1282.5,109,1282.5,106
1285.3,108,1285.3,68,1285.3,66,1285.3,80,1285.3,86,1285.3,113,1285.3,125,1285.3,97,1285.3,112
1288.2,111,1288.2,75,1288.2,54,1288.2,73,1288.2,103,1288.2,95,1288.2,108,1288.2,100,1288.2,103
1291,112,1291,54,1291,71,1291,75,1291,78,1291,101,1291,82,1291,100,1291,94
1293.9,118,1293.9,46,1293.9,51,1293.9,58,1293.9,81,1293.9,96,1293.9,90,1293.9,81,1293.9,116
1296.7,93,1296.7,66,1296.7,52,1296.7,77,1296.7,79,1296.7,70,1296.7,104,1296.7,104,1296.7,92
1299.5,105,1299.5,48,1299.5,51,1299.5,83,1299.5,93,1299.5,85,1299.5,72,1299.5,86,1299.5,96
1302.4,86,1302.4,55,1302.4,53,1302.4,56,1302.4,66,1302.4,81,1302.4,94,1302.4,82,1302.4,90
1305.2,89,1305.2,34,1305.2,59,1305.2,62,1305.2,52,1305.2,77,1305.2,83,1305.2,78,1305.2,87
1308,81,1308,48,1308,52,1308,62,1308,61,1308,64,1308,83,1308,78,1308,61
1310.9,72,1310.9,39,1310.9,43,1310.9,48,1310.9,50,1310.9,57,1310.9,62,1310.9,69,1310.9,65
1313.7,54,1313.7,52,1313.7,54,1313.7,42,1313.7,49,1313.7,56,1313.7,59,1313.7,72,1313.7,50
1316.5,50,1316.5,39,1316.5,36,1316.5,47,1316.5,42,1316.5,56,1316.5,52,1316.5,49,1316.5,64
1319.4,57,1319.4,32,1319.4,25,1319.4,38,1319.4,43,1319.4,34,1319.4,53,1319.4,54,1319.4,55
1322.2,50,1322.2,34,1322.2,29,1322.2,28,1322.2,42,1322.2,51,1322.2,43,1322.2,47,1322.2,41
1325.1,32,1325.1,19,1325.1,25,1325.1,22,1325.1,39,1325.1,25,1325.1,30,1325.1,27,1325.1,26
1327.9,38,1327.9,23,1327.9,22,1327.9,21,1327.9,32,1327.9,32,1327.9,28,1327.9,25,1327.9,29
1330.7,24,1330.7,17,1330.7,27,1330.7,22,1330.7,22,1330.7,21,1330.7,28,1330.7,25,1330.7,29
1333.6,23,1333.6,11,1333.6,15,1333.6,13,1333.6,15,1333.6,19,1333.6,21,1333.6,12,1333.6,18
1336.4,17,1336.4,6,1336.4,13,1336.4,15,1336.4,18,1336.4,25,1336.4,17,1336.4,18,1336.4,12
1339.2,20,1339.2,10,1339.2,12,1339.2,11,1339.2,11,1339.2,12,1339.2,12,1339.2,15,1339.2,26
1342.1,15,1342.1,8,1342.1,7,1342.1,8,1342.1,14,1342.1,17,1342.1,12,1342.1,16,1342.1,11
1344.9,10,1344.9,5,1344.9,5,1344.9,7,1344.9,10,1344.9,11,1344.9,9,1344.9,12,1344.9,10
1347.7,5,1347.7,2,1347.7,5,1347.7,10,1347.7,11,1347.7,9,1347.7,7,1347.7,13,1347.7,2
1350.6,8,1350.6,5,1350.6,3,1350.6,4,1350.6,7,1350.6,5,1350.6,5,1350.6,5,1350.6,8
